"报表日期","货币资金","交易性金融资产","应收票据","应收账款","预付款项","应收保费","应收利息","应收股利","其他应收款","应收出口退税","应收补贴款","应收保证金","内部应收款","存货","待摊费用","待处理流动资产损益","一年内到期的非流动资产","其他流动资产","特殊处理本身不平流动资产","特殊处理格式不同流动资产","流动资产合计","发放贷款及垫款","可供出售金融资产","持有至到期投资","长期应收款","长期股权投资","其他长期投资","投资性房地产","固定资产原值","累计折旧","固定资产净值","固定资产减值准备","固定资产净额","在建工程","工程物资","固定资产清理","生产性生物资产","公益性生物资产","油气资产","无形资产","开发支出","商誉","长期待摊费用","股权分置流通权","递延所得税资产","其他非流动资产","特殊处理本身不平非流动资产","特殊处理格式不同非流动资产","非流动资产合计","特殊处理本身不平总资产","特殊处理格式不同总资产","资产总计","短期借款","交易性金融负债","应付票据","应付账款","预收款项","应付职工薪酬","应交税费","应付利息","应付股利","其他应交款","应付保证金","内部应付款","其他应付款","预提费用","预计流动负债","应付分保账款","国际票证结算","国内票证结算","一年内的递延收益","应付短期债券","一年内到期的非流动负债","其他流动负债","特殊处理本身不平流动负债","特殊处理格式不同流动负债","流动负债合计","长期借款","应付债券","长期应付款","专项应付款","预计非流动负债","长期递延收益","递延所得税负债","其他非流动负债","特殊处理本身不平长期负债","特殊处理格式不同长期负债","非流动负债合计","特殊处理本身不平负债合计","特殊处理格式不同负债合计","负债合计","实收资本(或股本)","资本公积","减：库存股","专项储备","盈余公积","一般风险准备","未确定的投资损失","未分配利润","拟分配现金股利","外币报表折算差额","特殊处理本身不平股东权益","特殊处理格式不同股东权益","归属于母公司股东权益合计","少数股东权益","特殊处理本身不平股东权益","特殊处理格式不平股东权益","所有者权益(或股东权益)合计","特殊处理本身不平负债及权益","特殊处理格式不同负债及权益","负债和所有者权益","结算备付金","拆出资金","衍生金融资产","应收分保账款","应收分保合同准备金","买入返售金融资产","向中央银行借款","吸收存款及同业存放","拆入资金","衍生金融负债","卖出回购金融资产款","应付手续费及佣金","保险合同准备金","代理买卖证券款","代理承销证券款"
20170331,72708333794.74,,1176901568.28,,861069103.01,,239223538.55,,121467406.43,,,,,20760473514.6,,,,21954140.71,,,95889423066.32,242701246.38,29000000,,,,,,,,,,15197596002.52,2082556665.81,,,,,,3506692179.84,,,185603910.53,,1845145948.68,,,,23089295953.76,,,118978719020.08,,,,1061686903.5,18987716266.92,428985472.01,2972481741.98,39606282.75,,,,,2473356946.23,,,,,,,,,,,,36509261704.5,,,,15570000,,,,,,,15570000,,,36524831704.5,1256197800,1374964415.72,,,7135649963.12,420758409.36,,68840927360.74,,,,,79017768109.17,3436119206.41,,,82453887315.58,,,118978719020.08,,,,,,,,10545428091.11,,,,,,,
20161231,66854962118.22,,817627172,,1046100696.92,,140904856.88,,77227565.37,,,,,20622251825.55,,,,231474570.63,,,90180548805.57,60833517.03,29000000,,,,,,18970235526.67,4515026132.04,14455209394.63,2031955.29,14453177439.34,2745579995.68,,,,,,3531740625.6,,,188118776.51,,1745539120.68,,,,22753989474.84,,,112934538280.41,,,,1040608203.18,17541082237.01,1628507252.03,4272289194.57,34481635.33,,,,,1724638571.44,,,,,,,,,,,,37020425425.69,,,,15570000,,,,,,,15570000,,,37035995425.69,1256197800,1374964415.72,,,7135649963.12,420758409.36,,62717808036.61,,,,,72894137783.25,3004405071.47,,,75898542854.72,,,112934538280.41,,390000000,,,,,,10778818332.13,,,,,,,
20160930,61999742903.47,,1138138783.1,8502001.2,1323120682.97,,125442817.73,,125415641.23,,,,,18782523499.96,,,,,,,83502886329.66,169872720.99,29000000,,,,,,,,,,11249022570.67,5549022900.41,269870.82,1792981.04,,,,3551889907.73,,,190287366.2,,901987637.61,,,,21643145955.47,,,105146032285.13,,,,196762048.32,17393113994.45,425171258.82,1940334705.9,21599948.09,,,,,1388858403.96,,,,,,,,,,,,33846958824.06,,,,15570000,,,,,,,15570000,,,33862528824.06,1256197800,1374964415.72,,,7083825670.94,218361303.43,,58719244464.7,,,,,68642764747.56,2640738713.51,,,71283503461.07,,,105146032285.13,,,,,,,,12481118464.52,,,,,,,
20160630,47528057097.45,,6561484493.64,1044639.8,1281379954.61,,80171834.96,,56402587.5,,,,,18444926424.66,,,,,,,73953467032.62,171638439.89,29000000,,,,,,15452666657.57,4092836706.31,11359829951.26,2048320.65,11357781630.61,5372267342.32,269870.82,1792981.04,,,,3572114511.04,,,192922015.68,,895245348.82,,,,21593032140.22,,,95546499172.84,,,,287201701.54,11481462347.1,426673790.71,1839062337.44,46904631.72,4977430129.36,,,,1439340879.64,,,,,,,,,,,,28177767489.46,,,,15570000,,,,,,,15570000,,,28193337489.46,1256197800,1374964415.72,,,7083825670.94,218361303.43,,55056303838.58,,,,,64978911162.49,2374250520.89,,,67353161683.38,,,95546499172.84,,,,,,,,7679691671.95,,,,,,,
20160331,43775736151.7,,4678118906.46,230768.89,1523446788.56,,133573079.36,,64872644.27,,,,,18537817778.2,,,,,,,69113796117.44,136500000,29000000,,,,,,,,,,11485879409.51,5277866268.5,260855.92,1792981.04,,,,3562139114.35,,,195934362.54,,887280412.58,,,,21576653404.44,,,90690449521.88,,,,527287333.6,8544531234.99,468031934.29,1872491613.95,40428159.98,,,,,1322204243.44,,,,,,,,,,,,19733620532.26,,,,15570000,,,,,,,15570000,,,19749190532.26,1256197800,1374964415.72,,,6210524497.54,218361303.43,,59768236093.09,,,,,68818767236.7,2122491752.92,,,70941258989.62,,,90690449521.88,,400000000,,,,,,6958646012.01,,,,,,,
20151231,36800749895.06,,8578935406.82,230768.89,1477734859.9,,85347051.47,,48219018.75,,,,,18013297022.7,,,,,,,65004514023.59,19500000,29000000,,,,,,15093346708.61,3675345198.24,11418001510.37,2048320.65,11415953189.72,4895150716.51,260855.92,682594.04,,,,3582462431.04,,,198603537.81,,1155336074.14,,,,21296949399.18,,,86301463422.77,,,,880976072.09,8261582073.04,975477747.06,2515516156.83,27409447.4,,,,,1423139205.93,,,,,,,,,,,,20051723001.48,,,,15570000,,,,,,,15570000,,,20067293001.48,1256197800,1374964415.72,,,6210524497.54,218361303.43,,54878964497.77,,,,,63925978438.99,2308191982.3,,,66234170421.29,,,86301463422.77,,,,,,,,5967622299.13,,,,,,,
20150930,30536117619.71,,8291402262.23,3824472.83,1888387087.94,,136725651.17,,59819918.3,,,,,16381165059.87,,,,,,,57297442072.05,21060000,29000000,,,,,,,,,,10891205189.39,4746332449.54,260855.92,682594.04,,,,3603081357.78,,,202031249.06,,767938421.36,,,,20261592117.09,,,77559034189.14,,,,316757090.78,5605690314.39,330010898.12,1747481864.04,15831375.97,,,,,1240211431.33,,,,,,,,,,,,15622421631.06,,,,17770000,,,,,,,17770000,,,15640191631.06,1256197800,1374964415.72,,,5249407234.62,134294502.37,,51845696029.08,,,,,59848087655.52,2070754902.56,,,61918842558.08,,,77559034189.14,,,,,,,,6366438656.43,,,,,,,
20150630,30236504717.38,,3954874737.49,366443.99,2556244726.21,,136529732.49,,71376458.32,,,,,16284072631.22,,,,,,,53239969447.1,30810000,29000000,50000000,,,,,13670077972.72,3291533322.04,10378544650.68,2072859.64,10376471791.04,4446804735.3,260855.92,,,,,3612750116.11,,,2963228.01,,548714031.45,,,,19097774757.83,,,72337744204.93,,,,563904100.66,2336532250.08,272740804.59,1160203414.39,33124441.8,,,,,1242727741.64,,,,,,,,,,,,8658192015.39,,,,17770000,,,,,,,17770000,,,8675962015.39,1141998000,1374964415.72,,,5249407234.62,134294502.37,,53418589613.54,,,,,61304345562.07,2357436627.47,,,63661782189.54,,,72337744204.93,,,,,,,,3048959262.23,,,,,,,
20150331,28420683403.89,,2808126680.46,491086.99,3399221186.74,,117630548.84,,88011586.52,,,,,15619209608.46,,,,,,,50453374101.9,30810000,4000000,50000000,,,,,,,,,10438792823.57,3480877159.56,260855.92,,,,,3562868314.7,,,4437945.83,,743599436.94,,,,18315646536.52,,,68769020638.42,,,,280348676.61,2791357240.59,314852542.09,1394870953.35,23734467.61,,,,,1181440647.88,,,,,,,,,,,,8821102511.46,,,,17770000,,,,,,,17770000,,,8838872511.46,1141998000,1374964415.72,,,5249407234.62,98594502.37,,49930959058.26,,,,,57785581035.92,2144567091.04,,,59930148126.96,,,68769020638.42,,,,,,,,2834497983.33,,,,,,,
20141231,27710717680.21,,1847838617.83,4306161.24,2864210404.28,,80602922.33,,80888920.58,,,,,14982364367.85,,,,,,,47570929074.32,30810000,4000000,60000000,,,,,13296695686.77,2918865055.54,10377830631.23,2072859.64,10375757771.59,3421774448.02,260855.92,,,,,3582623682.24,,,5408286.83,,821601105.71,,,,18302236150.31,,,65873165224.63,62552484,,,707534647.54,1476233096.09,988643842.56,2105178165.87,15365197.91,,,,,1231886240.35,,,,,,,,,,,,10543844383.51,,,,17770000,,,,,,,17770000,,,10561614383.51,1141998000,1374964415.72,,,5249407234.62,98594502.37,,45566057337.37,,,,,53430402446.09,1881148395.03,,,55311550841.12,,,65873165224.63,,,,,,,,3956450709.19,,,,,,,
