"报表期起始日","报表期截止日","营业总收入","营业收入","利息收入","已赚保费","手续费及佣金收入","房地产销售收入","其他业务收入","特殊处理本身不平营业总收入","特殊处理格式不同营业总收入","营业总成本","营业成本","利息支出","手续费及佣金支出","房地产销售成本","研发费用","退保金","赔付支出净额","提取保险合同准备金净额","保单红利支出","分保费用","其他业务成本","营业税金及附加","销售费用","管理费用","财务费用","资产减值损失","特殊处理本身不平营业总成本","特殊处理格式不同营业总成本","公允价值变动收益","投资收益","其中:对联营企业和合营企业的投资收益","汇兑收益","期货损益","托管收益","补贴收入","其他业务利润","特殊处理本身不平营业利润","特殊处理格式不同营业利润","营业利润","营业外收入","营业外支出","非流动资产处置损失","特殊处理本身不平利润总额","特殊处理格式不同利润总额","利润总额","所得税费用","未确认投资损失","特殊处理本身不平净利润1","特殊处理格式不同净利润1","净利润","归属于母公司所有者的净利润","被合并方在合并前实现净利润","少数股东损益","特殊处理本身不平净利润2","特殊处理格式不同净利润2","基本每股收益","稀释每股收益","其他综合收益","归属于母公司所有者的其他综合收益","归属于少数股东的其他综合收益","综合收益总额","归属于母公司所有者的综合收益总额","归属于少数股东的综合收益总额","年初未分配利润","减少注册资本减少的未分配利润","其他转入","可分配利润","提取法定盈余公积","提取公益金","提取资本公积金","提取职工奖福基金","提取储备基金","提取企业发展基金","利润归还投资","补充流动资本","可供股东分配的利润","应付优先股股利","提取任意公积","应付普通股股利","转作资本股本的普通股股利","未分配利润","出售处置部门或被投资单位所得收益","自然灾害发生的损失","会计政策变更增加减少利润总额","会计估计变更增加减少利润总额","债务重组损失","其他补充资料"
20170101,20170331,13913411369.3,13308639084.87,604319454.24,,452830.19,,,,,5123258606.74,1176997676.07,33093150.24,52182.76,,,,,,,,,1973301671.93,852434090.09,1122230514.33,-29494286.28,-5356392.4,,,,,,,,,,,,,8790152762.56,1770099.69,36882434.3,69414.6,,,8755040427.95,2210206968.88,,,,6544833459.07,6123119324.13,,421714134.94,,,4.87,4.87,511001.79,511001.79,,6545344460.86,6123630325.92,421714134.94,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20161231,40155084412.93,38862189993.84,1292722909.66,,171509.43,,,,,15889459243.51,3410104085.97,122961049.54,73593.72,,,,,,,,,6508926343.26,1681052022.9,4187189840.42,-33175188.52,12327496.22,,,,,,,,,,,,,24265625169.42,8553926.06,316298138.37,1960971.07,,,23957880957.11,6027237847.23,,,,17930643109.88,16718362734.16,,1212280375.72,,,13.31,13.31,1793233.91,1793233.91,,17932436343.79,16720155968.07,1212280375.72,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160930,27532735151.02,26631884032.43,900679609.16,,171509.43,,,,,9383156947.59,2225398682.82,88355504.29,115393.23,,,,,,,,,3623883800.05,655110282.33,2786104248.79,-1302024,5491060.08,,,,,,,,,,,,,18149578203.43,8262314.45,119855695.88,50154.5,,,18037984822,4707793040.11,,,,13330191781.89,12465577764.14,,864614017.75,,,9.92,9.92,3205168.24,3205168.24,,13333396950.13,12468782932.38,864614017.75,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160630,18737617091.82,18173234673.44,564210908.95,,171509.43,,,,,5977493622.96,1475407709.24,56032755.92,70815.83,,,,,,,,,2205658604.87,387421652.45,1859591870.32,-12226120.6,5536334.93,,,,,,,,,,,,,12760123468.86,5374865.27,213054.89,32754.9,,,12765285279.24,3388082316.09,,,,9377202963.15,8802637138.02,,574565825.13,,,7.01,7.01,2292209.29,2292209.29,,9379495172.44,8804929347.31,574565825.13,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160331,10250867583.69,9988753730.97,262083852.72,,30000,,,,,3048304476.48,765002011.77,27297384.59,35523.63,,,,,,,,,1180622899.52,170385412.55,905013030.88,-3031403.42,2979616.96,,,,,,,,,,,,,7202563107.21,4199647.61,27219.7,26600,,,7206735535.12,1994656882.64,,,,5212078652.48,4889271595.32,,322807057.16,,,3.89,3.89,3517202.39,3517202.39,,5215595854.87,4892788797.71,322807057.16,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20151231,33446859045.58,32659583725.28,786545320.3,,730000,,,,,11291736359.61,2538337449.06,74159619.28,62172.83,,,,,,,,,3449170637.4,1484961519.21,3812852076.19,-67266800.97,-540313.39,,,,3869276.9,,,,,,,,,22158991962.87,4823183.32,162100184.85,188439.42,,,22001714961.34,5546718336.12,,,,16454996625.22,15503090276.38,,951906348.84,,,12.34,12.34,-12415031.48,-12415031.48,,16442581593.74,15490675244.9,951906348.84,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150930,23734319250.48,23148688960.89,585200289.59,,430000,,,,,7443208922.79,1747047687.23,48479878.93,75171.16,,,,,,,,,2171605445.23,935401479.03,2592580782.23,-52132054.3,150533.28,,,,3868919.86,,,,,,,,,16294979247.55,1151762.29,133901458.09,38842.93,,,16162229551.75,4035440224.88,,,,12126789326.87,11424637743.71,,702151583.16,,,9.09,9.09,-11853282.28,-11853282.28,,12114936044.59,11412784461.43,702151583.16,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150630,16185651569.47,15778647465.95,406854103.52,,150000,,,,,5037379854.43,1165878006.33,27762623.78,44740.32,,,,,,,,,1443140055.82,592014002.75,1827131652.26,-18995600.11,404373.28,,,,3342169.86,,,,,,,,,11151613884.9,712903.58,2893260.58,38842.93,,,11149433527.9,2784913019.29,,,,8364520508.61,7888232276.17,,476288232.44,,,6.91,6.91,-14289160.19,-14289160.19,,8350231348.42,7873943115.98,476288232.44,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150331,8760367928.22,8544273436,215944492.22,,150000,,,,,2556368078.35,579796944.52,14162357.08,24497.01,,,,,,,,,806537815.96,242599825.82,919920409,-6472977.66,-200793.38,,,,332169.86,,,,,,,,,6204332019.73,499998,2815794.51,15764.6,,,6202016223.22,1573695806.31,,,,4628320416.91,4364901720.89,,263418696.02,,,3.82,3.82,-10342175.05,-10342175.05,,4617978241.86,4354559545.84,263418696.02,,,,,,,,,,,,,,,,,,,,,,,,
20140101,20141231,32217213741.08,31573928530.94,643085210.14,,200000,,,,,10117335755.93,2338550532.33,59217289.1,76550.76,,,,,,,,,2788994436.05,1674733451.06,3378499544.59,-123168793.84,432745.88,,,,3095265.75,,,,,,,,,22102973250.9,6562552.18,227193365.75,86754481.23,,,21882342437.33,5612970927.5,,,,16269371509.83,15349804322.27,,919567187.56,,,13.44,13.44,-619043.99,-619043.99,,16268752465.84,15349185278.28,919567187.56,,,,,,,,,,,,,,,,,,,,,,,,
20140101,20140930,22173257722.32,21718189167.61,454908554.71,,160000,,,,,6859822984.02,1593307325.68,43869597.19,46988.6,,,,,,,,,2004308881.32,976711335.94,2336957697.64,-95772137.58,393295.23,,,,3010000,,,,,,,,,15316444738.3,2509405.6,139757580,5839433.68,,,15179196563.9,3803506856.02,,,,11375689707.88,10693329220.86,,682360487.02,,,9.36,9.36,,,,11375689707.88,10693329220.86,682360487.02,,,,,,,,,,,,,,,,,,,,,,,,
