"报表期起始日","报表期截止日","营业总收入","营业收入","利息收入","已赚保费","手续费及佣金收入","房地产销售收入","其他业务收入","特殊处理本身不平营业总收入","特殊处理格式不同营业总收入","营业总成本","营业成本","利息支出","手续费及佣金支出","房地产销售成本","研发费用","退保金","赔付支出净额","提取保险合同准备金净额","保单红利支出","分保费用","其他业务成本","营业税金及附加","销售费用","管理费用","财务费用","资产减值损失","特殊处理本身不平营业总成本","特殊处理格式不同营业总成本","公允价值变动收益","投资收益","其中:对联营企业和合营企业的投资收益","汇兑收益","期货损益","托管收益","补贴收入","其他业务利润","特殊处理本身不平营业利润","特殊处理格式不同营业利润","营业利润","营业外收入","营业外支出","非流动资产处置损失","特殊处理本身不平利润总额","特殊处理格式不同利润总额","利润总额","所得税费用","未确认投资损失","特殊处理本身不平净利润1","特殊处理格式不同净利润1","净利润","归属于母公司所有者的净利润","被合并方在合并前实现净利润","少数股东损益","特殊处理本身不平净利润2","特殊处理格式不同净利润2","基本每股收益","稀释每股收益","其他综合收益","归属于母公司所有者的其他综合收益","归属于少数股东的其他综合收益","综合收益总额","归属于母公司所有者的综合收益总额","归属于少数股东的综合收益总额","年初未分配利润","减少注册资本减少的未分配利润","其他转入","可分配利润","提取法定盈余公积","提取公益金","提取资本公积金","提取职工奖福基金","提取储备基金","提取企业发展基金","利润归还投资","补充流动资本","可供股东分配的利润","应付优先股股利","提取任意公积","应付普通股股利","转作资本股本的普通股股利","未分配利润","出售处置部门或被投资单位所得收益","自然灾害发生的损失","会计政策变更增加减少利润总额","会计估计变更增加减少利润总额","债务重组损失","其他补充资料"
20170101,20170331,10158807519.1,10158807519.1,,,,,,,,5219248648.67,2993353291.31,,,,,,,,,,,761977874.68,1096463607.3,583795810.88,-216710540.4,368604.9,,,,,,,,,,,,,4939558870.43,19087948.35,5414437.63,1296034.48,,,4953232381.15,1214027296.16,,,,3739205084.99,3593112440.79,,146092644.2,,,0.95,0.95,,,,3739205084.99,3593112440.79,146092644.2,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20161231,24543792660.59,24543792660.59,,,,,,,,15340010355.95,7314252452.38,,,,,,,,,,,1941174540.51,4694545075.85,2143703443.82,-765864110.92,12198954.31,,,,33428752.97,33428752.97,,,,,,,,9237211057.61,118914963.09,18715363.77,6668384.57,,,9337410656.93,2280645088.07,,,,7056765568.86,6784533260.36,,272232308.5,,,1.79,1.79,,,,7056765568.86,6784533260.36,272232308.5,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160930,17699643832.21,17699643832.21,,,,,,,,10754163494.47,5287169637.43,,,,,,,,,,,1369574668.29,3042710866.35,1614574317.92,-559238520.83,-627474.69,,,,10147483.09,10147483.09,,,,,,,,6955627820.83,88263186.11,17255083.41,4291932.85,,,7026635923.53,1730020354.03,,,,5296615569.5,5101313177.67,,195302391.83,,,1.34,1.34,,,,5296615569.5,5101313177.67,195302391.83,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160630,13255638646.02,13255638646.02,,,,,,,,7973349652.22,3976153298.88,,,,,,,,,,,1036442502.02,2195621788.48,1107396572.58,-341637035.05,-627474.69,,,,10147483.09,10147483.09,,,,,,,,5292436476.89,43962304.34,13424376.28,3656083.11,,,5322974404.95,1296349816.03,,,,4026624588.92,3886813135.28,,139811453.64,,,1.02,1.02,,,,4026624588.92,3886813135.28,139811453.64,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160331,8825564213.47,8825564213.47,,,,,,,,4862712652.11,2661635000.47,,,,,,,,,,,681549806.35,1125781380.21,572834323.13,-179087361.55,-496.5,,,,,,,,,,,,,3962851561.36,32517529.26,4826458.59,2727098.04,,,3990542632.03,982264538.23,,,,3008278093.8,2903112187.15,,105165906.65,,,0.77,0.77,,,,3008278093.8,2903112187.15,105165906.65,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20151231,21659287359.66,21659287359.66,,,,,,,,13447194528.95,6671963269.67,,,,,,,,,,,1784675660.32,3568061356.21,2128805680.22,-732111447.74,25800010.27,,,,34144563.94,34144563.94,,,,,,,,8246237394.65,66157319.23,24900730.73,2743457.28,,,8287493983.15,1877009646.88,,,,6410484336.27,6176119256.18,,234365080.09,,,1.63,1.63,,,,6410484336.27,6176119256.18,234365080.09,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150930,15131341357.21,15131341357.21,,,,,,,,8928676405.4,4656198301.7,,,,,,,,,,,1185882023.6,2197272200.48,1443131572.12,-555911422.9,2103730.4,,,,11944354.91,11944354.91,,,,,,,,6214609306.72,45697498.87,10418740.88,294868.75,,,6249888064.71,1472777535.06,,,,4777110529.65,4603019813.79,,174090715.86,,,1.21,1.21,,,,4777110529.65,4603019813.79,174090715.86,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150630,11215414006.94,11215414006.94,,,,,,,,6763015920.73,3376312811.83,,,,,,,,,,,885174940.64,1850332525.56,1006746030.52,-357654118.22,2103730.4,,,,11944354.91,11944354.91,,,,,,,,4464342441.12,29909283.52,8385597.25,293758.31,,,4485866127.39,1064662451.06,,,,3421203676.33,3297527845.59,,123675830.74,,,0.87,0.87,,,,3421203676.33,3297527845.59,123675830.74,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150331,6735435074.16,6735435074.16,,,,,,,,3735455425.86,2055823734.03,,,,,,,,,,,496842872.54,816948847.01,538900979.45,-173061007.17,,,,,,,,,,,,,,2999979648.3,16235602.84,5972473.67,259920.34,,,3010242777.47,720319520.79,,,,2289923256.68,2200799535.17,,89123721.51,,,0.58,0.58,,,,2289923256.68,2200799535.17,89123721.51,,,,,,,,,,,,,,,,,,,,,,,,
20140101,20141231,21011491536.14,21011491536.14,,,,,,,,12993577702.66,5772029404.03,,,,,,,,,,,1517236398.19,4308897447.57,2047028546.72,-657775551.17,6161457.32,,,,14487542.04,14487542.04,,,,,,,,8032401375.52,59944583.86,76429810.82,28862690.41,,,8015916148.56,1957701185.49,,,,6058214963.07,5834915278.94,,223299684.13,,,1.54,1.54,,,,6058214963.07,5834915278.94,223299684.13,,,,,,,,,,,,,,,,,,,,,,,,
20140101,20140930,15068314515.67,15068314515.67,,,,,,,,8629017906.13,3787920585.17,,,,,,,,,,,1056567930.21,2894737834.01,1377206394.14,-490454942.11,3040104.71,,,,-5773861.48,-5764261.48,,,,,,,,6433522748.06,40517664.25,21948730.8,9089213.63,,,6452091681.51,1557893877.46,,,,4894197804.05,4707288391.6,,186909412.45,,,1.24,1.24,,,,4894197804.05,4707288391.6,186909412.45,,,,,,,,,,,,,,,,,,,,,,,,
20140101,20140630,11662532799.27,11662532799.27,,,,,,,,6118896263.83,2857248428.67,,,,,,,,,,,834773708.13,1791032877.01,977690587.14,-344899041.83,3049704.71,,,,-5764261.48,-5764261.48,,,,,,,,5537872273.96,27438357.48,17767257.83,9089213.63,,,5547543373.61,1385095939.41,,,,4162447434.2,4001813151.27,,160634282.93,,,1.05,1.05,,,,4162447434.2,4001813151.27,160634282.93,,,,,,,,,,,,,,,,,,,,,,,,
20140101,20140331,6719851620.27,6719851620.27,,,,,,,,3057524313.99,1682004658.98,,,,,,,,,,,448817685.84,638101750.49,533715812.48,-245115593.8,,,,,,,,,,,,,,3662327306.28,15209143.73,9220135.7,2952034.47,,,3668316314.31,932767728.71,,,,2735548585.6,2619140414.17,,116408171.43,,,0.69,0.69,,,,2735548585.6,2619140414.17,116408171.43,,,,,,,,,,,,,,,,,,,,,,,,
20130101,20131231,24718588617.99,24718588617.99,,,,,,,,13283383589.25,6610410852.24,,,,,,,,,,,1849030035.48,3382176991.35,2263637925.03,-826879677.56,5007462.71,,,-7070987.6,4298863.95,566442.73,,,,,,,,11432432905.09,65895607.94,251249096.43,2654845.78,,,11247079416.6,2924864055.65,,,,8322215360.95,7972814983.24,,349400377.71,,,2.1,2.1,,,,8322215360.95,7972814983.24,349400377.71,,,,,,,,,,,,,,,,,,,,,,,,
20130101,20130930,19165837235.44,19165837235.44,,,,,,,,9112582031.78,5339450953.04,,,,,,,,,,,1359146268.04,1552031028.34,1521231364.8,-659404182.44,126600,,,-7070987.6,-2465402.86,-6197824.08,,,,,,,,10043718813.2,41110317.9,240382588.23,210935.24,,,9844446542.87,2433760593.79,,,,7410685949.08,7103846987.47,,306838961.61,,,1.87,1.87,,,,7410685949.08,7103846987.47,306838961.61,,,,,,,,,,,,,,,,,,,,,,,,
20130101,20130630,15519877625.32,15519877625.32,,,,,,,,7283057053.24,4376697218.37,,,,,,,,,,,1097569220.41,1195041137.17,1085694375.8,-471944898.51,,,,-7070987.6,-2465402.86,-6197824.08,,,,,,,,8227284181.62,26300977.05,234744649.1,3707.24,,,8018840509.57,1978855837.84,,,,6039984671.73,5791034483.35,,248950188.38,,,1.53,1.53,,,,6039984671.73,5791034483.35,248950188.38,,,,,,,,,,,,,,,,,,,,,,,,
20130101,20130331,8675799862.76,8675799862.76,,,,,,,,3463706177.06,2033064547.87,,,,,,,,,,,587146311.78,504185088.01,577974320.34,-238664090.94,,,,-1174775.36,,,,,,,,,,5210918910.34,16077929.14,205731103.8,,,,5021265735.68,1234975036.89,,,,3786290698.79,3626866317.84,,159424380.95,,,0.96,0.96,,,,3786290698.79,3626866317.84,159424380.95,,,,,,,,,,,,,,,,,,,,,,,,
20120101,20121231,27201045951.34,27201045951.34,,,,,,,,13502689947.56,8015724440.85,,,,,,,,,,,2005704155.21,2258966257.29,2009184257.85,-789586016.6,2696852.96,,,772066.24,3007200.68,-396769.54,,,,,,,,13702135270.7,64928850.34,28397993.76,1400254.25,,,13738666127.28,3402932422.5,,,,10335733704.78,9934872820.43,,400860884.35,,,2.62,2.62,,,,10335733704.78,9934872820.43,400860884.35,,,,,,,,,,,,,,,,,,,,,,,,
20120101,20120930,21126603442.65,21126603442.65,,,,,,,,10427199376.98,6475620512.4,,,,,,,,,,,1558027610.67,1604891282.35,1408989421.49,-620329449.93,,,,-2940276.48,-917593.17,,,,,,,,,10695546196.02,39528314.97,20251085.85,,,,10714823425.14,2601217500.98,,,,8113605924.16,7801870232.83,,311735691.33,,,2.06,2.06,,,,8113605924.16,7801870232.83,311735691.33,,,,,,,,,,,,,,,,,,,,,,,,
20120101,20120630,15049709413.35,15049709413.35,,,,,,,,8115683206.93,5252285371.53,,,,,,,,,,,1125809503.82,1215125573.74,922708225.66,-400245467.82,,,,-1937275.2,-984891.57,,,,,,,,,6931104039.65,27168368.62,4522204.21,714503.17,,,6953750204.06,1712386078.7,,,,5241364125.36,5046255082.03,,195109043.33,,,1.33,1.33,,,,5241364125.36,5046255082.03,195109043.33,,,,,,,,,,,,,,,,,,,,,,,,
20120101,20120331,8230651472.62,8230651472.62,,,,,,,,4041835235.48,2519558542.41,,,,,,,,,,,649332785.18,482961749.51,532291967.26,-142309808.88,,,,-526834.56,-9791.54,,,,,,,,,4188279611.04,12849248.38,2291113.57,,,,4198837745.85,1032090586.53,,,,3166747159.32,3050121093.22,,116626066.1,,,0.8,0.8,,,,3166747159.32,3050121093.22,116626066.1,,,,,,,,,,,,,,,,,,,,,,,,
20110101,20111231,20350594468.71,20350594468.71,,,,,,,,11853596549.1,6895411289.13,,,,,,,,,,,1601644134.96,2069991386.15,1750685037.93,-476587420.81,12452121.74,,,-2456298.72,2400112.74,2110192.46,,,,,,,,8496941733.63,57448935.5,54436988.79,7214460.24,,,8499953680.34,2105576465.36,,,,6394377214.98,6157465187.41,,236912027.57,,,1.62,1.62,,,,6394377214.98,6157465187.41,236912027.57,,,,,,,,,,,,,,,,,,,,,,,,
20110101,20110930,15648774490.19,15648774490.19,,,,,,,,9035308334.24,5318811654.69,,,,,,,,,,,1220745003.9,1480296163.33,1257263895.11,-235104521.34,-6703861.45,,,-2934365.6,-3804432.96,-4089468.16,,,,,,,,6606727357.39,40815541.13,30022491.64,,,,6617520406.88,1616253918.88,,,,5001266488,4818212597.39,,183053890.61,,,1.27,1.27,,,,5001266488,4818212597.39,183053890.61,,,,,,,,,,,,,,,,,,,,,,,,
20110101,20110630,10594830203.2,10594830203.2,,,,,,,,5987149722.59,3589356918.89,,,,,,,,,,,818818580.22,954816987.75,818535719.35,-187674784.07,-6703699.55,,,-101244.32,-3956459.4,-4089468.16,,,,,,,,4603622776.89,20326076.61,3461598.27,,,,4620487255.23,1129689950.29,,,,3490797304.94,3362588438.61,,128208866.33,,,0.89,0.89,,,,3490797304.94,3362588438.61,128208866.33,,,,,,,,,,,,,,,,,,,,,,,,
20110101,20110331,6244557079.65,6244557079.65,,,,,,,,3401082297.36,2138107423.97,,,,,,,,,,,467757266.18,386635240.65,431996771.2,-23414404.64,,,,1762545.44,9936.35,,,,,,,,,2845247264.08,16632128.41,1367839.63,,,,2860511552.86,699022568.52,,,,2161488984.34,2081397684.72,,80091299.62,,,0.55,0.55,,,,2161488984.34,2081397684.72,80091299.62,,,,,,,,,,,,,,,,,,,,,,,,
20100101,20101231,15541300510.85,15541300510.85,,,,,,,,9443020432.27,4863189610.83,,,,,,,,,,,1392170702.85,1803233837.68,1561852181.17,-192470846.37,15044946.11,,,-6911424.32,3377150.17,2545036.6,,,,,,,,6094745804.43,50741916.62,75244790.52,1698985.34,,,6070242930.53,1508186094.93,,,,4562056835.6,4395355533.17,,166701302.43,,,1.16,1.16,,,,4562056835.6,4395355533.17,166701302.43,,,,,,,,,,,,,,,,,,,,,,,,
