数据库：年度数据
时间：1989-
时间,年末总人口(万人),0-14岁人口(万人),15-64岁人口(万人),65岁及以上人口(万人),总抚养比(%),少儿抚养比(%),老年抚养比(%)
1989年,112704,,,,,,
1990年,114333,31659,76306,6368,49.8,41.5,8.3
1991年,115823,32095,76791,6938,50.8,41.8,9.0
1992年,117171,32339,77614,7218,51.0,41.7,9.3
1993年,118517,32177,79051,7289,49.9,40.7,9.2
1994年,119850,32360,79868,7622,50.1,40.5,9.5
1995年,121121,32218,81393,7510,48.8,39.6,9.2
1996年,122389,32298,82245,7845,48.8,39.3,9.5
1997年,123626,32093,83448,8085,48.1,38.5,9.7
1998年,124761,32064,84338,8359,47.9,38.0,9.9
1999年,125786,31950,85157,8679,47.7,37.5,10.2
2000年,126743,29011,88847,8821,42.6,32.6,9.9
2001年,127627,28716,89849,9062,42.0,32.0,10.1
2002年,128453,28773,90302,9377,42.2,31.9,10.4
2003年,129227,28559,90976,9692,42.0,31.4,10.7
2004年,129988,27947,92161,9879,41.0,30.3,10.7
2005年,130756,26543,94144,10068,38.8,28.1,10.7
2006年,131448,26027,95037,10384,38.3,27.3,11.0
2007年,132129,25633,95794,10702,37.9,26.8,11.1
2008年,132802,25232,96547,11023,37.4,26.0,11.3
2009年,133450,24688,97419,11343,36.9,25.3,11.6
2010年,134091,22259,99898,11934,34.2,22.3,11.9
2011年,134735,22231,100243,12261,34.4,22.1,12.3
2012年,135404,22342,100334,12728,34.9,22.2,12.7
2013年,136072,22316,100557,13199,35.3,22.2,13.1
2014年,136782,22569,100398,13815,36.1,22.5,13.7
2015年,137462,22715,100361,14386,37.0,22.6,14.3
注：1981年及以前人口数据为户籍统计数；1982、1990、2000、2010年数据为当年人口普查数据推算数；其余年份数据为年度人口抽样调查推算数据。总人口和按性别分人口中包括现役军人，按城乡分人口中现役军人计入城镇人口。
数据来源：国家统计局
