数据库：季度数据
时间：1989-
时间,居民人均可支配收入_累计值(元),居民人均可支配收入_累计增长(%),居民人均可支配收入中位数_累计值(元),居民人均可支配收入中位数_累计增长(%),居民人均可支配工资性收入_累计值(元),居民人均可支配经营净收入_累计值(元),居民人均可支配财产净收入_累计值(元),居民人均可支配转移净收入_累计值(元),居民人均消费支出_累计值(元),居民人均消费支出_累计增长(%),居民人均食品烟酒消费支出_累计值(元),居民人均衣着消费支出_累计值(元),居民人均居住消费支出_累计值(元),居民人均生活用品及服务消费支出_累计值(元),居民人均交通通信消费支出_累计值(元),居民人均教育文化娱乐消费支出_累计值(元),居民人均医疗保健消费支出_累计值(元),居民人均其他用品和服务消费支出_累计值(元)
2013年第一季度,5006.1,,4117.2,,2849.4,968.3,390.0,798.4,3370.5,,1119.8,349.9,694.5,204.8,394.9,311.0,212.0,83.6
2013年第二季度,9049.1,,7723.4,,5224.7,1599.7,704.1,1520.6,6257.2,,1940.5,559.6,1387.4,392.7,776.3,586.0,447.7,166.9
2013年第三季度,13556.5,,11700.2,,7834.4,2382.9,1043.8,2295.4,9476.1,,2874.6,747.7,2127.5,605.6,1184.9,1003.9,684.2,247.7
2013年第四季度,18310.8,10.9,15632.1,,10410.8,3434.7,1423.3,3042.1,13220.4,,4126.7,1027.2,2998.5,806.5,1627.1,1397.7,912.1,324.7
2014年第一季度,5562.2,8.6,4693.6,14.0,3187.3,1046.8,443.0,885.1,3755.0,8.9,1245.8,367.0,762.4,224.6,459.5,349.5,242.6,103.6
2014年第二季度,10025.0,8.3,8779.9,13.7,5784.9,1737.4,804.1,1698.5,6915.8,8.0,2162.6,597.7,1503.7,431.8,896.2,631.7,502.8,189.4
2014年第三季度,14985.6,8.2,13120.1,12.1,8605.6,2628.1,1192.1,2559.8,10402.4,7.5,3157.4,800.9,2296.9,658.4,1349.2,1086.8,781.1,271.6
2014年第四季度,20167.1,8.0,17569.8,12.4,11420.6,3732.0,1587.8,3426.8,14491.4,7.5,4493.9,1099.3,3200.6,889.7,1869.3,1535.9,1044.8,358.1
2015年第一季度,6086.9,8.1,5216.3,11.1,3486.8,1122.1,479.6,998.4,4076.3,7.3,1352.3,399.9,835.5,248.8,524.1,330.4,275.4,109.9
2015年第二季度,10930.7,7.6,9700.0,10.5,6308.1,1848.1,882.2,1892.4,7546.0,7.7,2335.7,638.9,1619.8,467.9,1012.8,700.1,566.8,204.2
2015年第三季度,16367.1,7.7,14460.0,10.2,9385.2,2804.6,1312.8,2864.6,11285.8,7.0,3400.7,847.9,2460.3,701.0,1524.5,1196.2,859.6,295.7
2015年第四季度,21966.2,7.4,19281.1,9.7,12459.0,3955.6,1739.6,3811.9,15712.4,6.9,4814.0,1164.1,3419.2,951.4,2086.9,1723.1,1164.5,389.2
2016年第一季度,6619.3,6.5,5670.0,8.7,3756.6,1206.9,545.1,1110.8,4453.5,7.1,1467.9,405.4,898.3,266.9,574.0,423.2,303.4,114.3
2016年第二季度,11886.0,6.5,10505.0,8.3,6846.0,1999.0,963.0,2078.0,8211.0,6.6,2536.7,651.8,1772.8,502.4,1104.3,790.2,641.7,211.0
2016年第三季度,17735.4,6.3,15625.7,8.1,10127.8,3028.6,1420.8,3158.2,12247.1,6.4,3663.6,867.4,2675.6,760.4,1669.3,1350.8,959.9,300.0
2016年第四季度,23821.0,6.3,20883.0,8.3,13455.0,4218.0,1889.0,4259.0,17111.0,6.8,5151.0,1203.0,3746.0,1044.0,2338.0,1915.0,1307.0,406.0
2017年第一季度,7184.0,7.0,6067.0,6.7,4084.0,1280.0,583.0,1237.0,4796.0,6.2,1535.0,403.0,978.0,277.0,645.0,480.0,352.0,127.0
2017年第二季度,12931.9,7.3,11237.8,7.0,7435.1,2117.1,1055.6,2324.1,8834.1,6.1,2678.1,667.6,1919.2,535.2,1210.6,869.1,718.0,236.2
注：1.从2013年起，国家统计局开展了城乡一体化住户收支与生活状况调查，2013年及以后数据来源于此项调查。与2013年前的分城镇和农村住户调查的调查范围、调查方法、指标口径有所不同。
　　　2.居民人均可支配收入的累计增长为扣除价格因素的实际增长。
　　　3.居民人均可支配收入中位数的累计增长为名义增长。
　　　4.居民人均消费支出的累计增长为扣除价格因素的实际增长。
数据来源：国家统计局
