数据库：年度数据
时间：1989-
时间,住宿和餐饮业法人企业数(个),住宿和餐饮业年末从业人数(人),住宿和餐饮业营业额(亿元),住宿和餐饮业餐费收入(亿元),住宿和餐饮业餐饮营业面积(万平方米),住宿业法人企业数(个),住宿业年末从业人数(人),住宿业营业额(亿元),住宿业客房收入(亿元),住宿业餐费收入(亿元),住宿业客房数(万间),住宿业床位数(万位),住宿业餐饮营业面积(万平方米),餐饮业法人企业数(个),餐饮业年末从业人数(人),餐饮业营业额(亿元),餐饮业餐费收入(亿元),餐饮业餐饮营业面积(万平方米)
1994年,,,,,,,,,,,,,,47578,6350650,,,
1995年,,,,,,,,,,,,,,45201,7100962,,,
1996年,,,,,,,,,,,,,,48240,7753108,,,
1999年,,,,,,,,,,,,,,3266,660850,442.59,,
2000年,,,,,,,,,,,,,,3508,664749,528.50,,
2001年,,,,,,,,,,,,,,4132,779370,618.70,,
2002年,,,,,,,,,,,,,,5021,978043,740.30,,
2003年,,,,,,,,,,,,,,5935,1132733,896.20,,
2004年,19299,2621418,2331.00,,,9232,1282173,1170.50,554.70,438.80,,,,10067,1339245,1160.50,1030.80,
2005年,19366,2874000,2613.50,,,9444,1529270,1353.30,661.10,507.80,,,,9922,1344263,1260.20,1124.00,
2006年,22091,3112000,3125.50,,,10269,1622808,1551.90,742.20,607.20,,,,11822,1489402,1573.60,1410.60,
2007年,25041,3418000,3711.50,2427.03,5117.90,10971,1744142,1804.28,851.67,715.71,,286.90,1969.60,14070,1673561,1907.22,1711.32,3148.30
2008年,37151,4000366,4824.43,3246.06,6171.38,14628,1998667,2231.61,1064.58,887.67,215.55,379.99,2256.80,22523,2001699,2592.82,2358.39,3914.58
2009年,35192,4006540,4947.06,3373.09,6093.89,14498,2000484,2260.70,1041.19,931.78,201.67,351.47,2308.11,20694,2006056,2686.36,2441.31,3785.78
2010年,37308,4311167,5992.99,4037.10,6249.39,15713,2108179,2797.84,1309.76,1143.87,224.90,393.22,2269.65,21595,2202988,3195.14,2893.23,3979.74
2011年,39002,4434618,7070.94,4755.76,9630.80,16506,2156638,3261.89,1535.32,1321.98,254.32,426.41,4279.70,22496,2277980,3809.05,3433.77,5351.10
2012年,40499,4544590,7954.28,5442.76,10000.76,17109,2107502,3534.44,1617.91,1476.03,336.00,548.70,4641.63,23390,2437088,4419.85,3966.73,5359.13
2013年,45180,4561878,8061.32,5430.52,9473.84,18437,2094185,3527.99,1705.43,1374.45,265.51,439.54,3880.32,26743,2467693,4533.33,4056.07,5593.52
2014年,45508,4324000,8150.60,5453.70,9570.00,18874,1978522,3535.25,1739.19,1333.47,319.90,523.00,4014.20,26634,2345474,4615.30,4120.20,5555.80
2015年,44884,4132395,8512.23,5709.52,9276.65,18937,1911615,3648.22,1803.10,1366.06,337.20,549.66,3910.40,25947,2220780,4864.01,4343.47,5366.25
注：1.2007年的统计范围为限额以上法人企业、产业活动单位，2008年及以后为限额以上法人企业。
　　　2.2007年及以前住宿业法人企业数的口径为星级住宿业，2007年的统计范围为限额以上法人企业、产业活动单位，2008年及以后为限额以上法人企业。
　　　3.2007年及以前住宿业企业从业人数的口径为星级住宿业。
　　　4.2007年及以前住宿业企业营业额的口径为星级住宿业。
　　　5.2007年及以前住宿业企业客房收入的口径为星级住宿业。
　　　6.2007年及以前住宿业企业餐费收入的口径为星级住宿业。
　　　7.2007年的统计限额划分指标为“年商品销售额”、“年末从业人员”，2008年及以后为“年主营业务收入”。
数据来源：国家统计局
