数据库：年度数据
时间：1989-
时间,城镇居民家庭人均可支配收入(元),城镇居民家庭人均可支配收入指数(1978=100),农村居民家庭人均纯收入(元),农村居民家庭人均纯收入指数(1978=100),城镇居民家庭恩格尔系数(%),农村居民家庭恩格尔系数(%)
1989年,1373.9,182.5,601.5,305.7,54.5,54.8
1990年,1510.2,198.1,686.3,311.2,54.2,58.8
1991年,1700.6,212.4,708.6,317.4,53.8,57.6
1992年,2026.6,232.9,784.0,336.2,53.0,57.6
1993年,2577.4,255.1,921.6,346.9,50.3,58.1
1994年,3496.2,276.8,1221.0,364.3,50.0,58.9
1995年,4283.0,290.3,1577.7,383.6,50.1,58.6
1996年,4838.9,301.6,1926.1,418.1,48.8,56.3
1997年,5160.3,311.9,2090.1,437.3,46.6,55.1
1998年,5425.1,329.9,2162.0,456.1,44.7,53.4
1999年,5854.0,360.6,2210.3,473.5,42.1,52.6
2000年,6280.0,383.7,2253.4,483.4,39.4,49.1
2001年,6859.6,416.3,2366.4,503.7,38.2,47.7
2002年,7702.8,472.1,2475.6,527.9,37.7,46.2
2003年,8472.2,514.6,2622.2,550.6,37.1,45.6
2004年,9421.6,554.2,2936.4,588.0,37.7,47.2
2005年,10493.0,607.4,3254.9,624.5,36.7,45.5
2006年,11759.5,670.7,3587.0,670.7,35.8,43.0
2007年,13785.8,752.5,4140.4,734.4,36.3,43.1
2008年,15780.8,815.7,4760.6,793.2,37.9,43.7
2009年,17174.7,895.4,5153.2,860.6,36.5,41.0
2010年,19109.4,965.2,5919.0,954.4,35.7,41.1
2011年,21809.8,1046.3,6977.3,1063.2,36.3,40.4
2012年,24564.7,1146.7,7916.6,1176.9,36.2,39.3
注：2013年前城乡居民收支数据来源于分别开展的城镇住户抽样调查和农村住户抽样调查。
数据来源：国家统计局
