数据库：季度数据
时间：1998-
时间,白酒(折65度，商品量)销售量_累计值(万千升),白酒(折65度，商品量)产销率_累计值(%),白酒(折65度，商品量)产销率比上年同期增减(百分点),白酒(折65度，商品量)期末库存比年初增减(%)
1998年第一季度,130.9,103.9,,-7.0
1998年第二季度,236.7,98.7,,3.3
1998年第三季度,337.9,98.5,,3.3
1998年第四季度,549.1,98.0,,10.3
1999年第一季度,134.7,101.1,,-1.8
1999年第二季度,234.8,97.8,,6.6
1999年第三季度,329.8,96.8,,13.4
1999年第四季度,480.6,97.2,,16.2
2000年第一季度,128.0,102.8,,-4.0
2000年第二季度,216.7,98.5,,3.0
2000年第三季度,309.8,99.1,,3.2
2000年第四季度,468.8,99.0,,0.4
2001年第一季度,117.2,102.6,,-3.4
2001年第二季度,212.9,100.5,,-1.1
2001年第三季度,295.3,101.5,2.4,-3.4
2001年第四季度,419.5,100.7,,-3.2
2002年第一季度,97.7,99.8,,0.5
2002年第二季度,179.7,100.0,,0.1
2002年第三季度,259.6,101.8,,-5.7
2002年第四季度,373.5,100.2,,1.2
2003年第一季度,86.5,107.3,,-7.0
2003年第二季度,153.4,101.4,,-3.8
2003年第三季度,226.7,101.7,,-5.4
2003年第四季度,330.1,100.2,,-0.9
2004年第一季度,78.8,81.6,,-2.9
2004年第二季度,138.9,102.0,,-4.9
2004年第三季度,215.2,101.9,,-2.9
2004年第四季度,314.2,102.2,,-12.9
2005年第一季度,84.4,103.2,21.6,-6.1
2005年第二季度,154.7,100.8,-1.2,-2.6
2005年第三季度,230.7,98.4,-3.5,-0.9
2005年第四季度,358.1,103.1,0.9,-1.2
2006年第一季度,92.9,93.4,-9.8,-0.2
2006年第二季度,178.3,97.9,-2.9,5.7
2006年第三季度,264.9,97.3,-1.1,8.0
2006年第四季度,383.9,97.6,-5.5,8.2
2007年第一季度,113.7,103.3,9.9,-6.6
2007年第二季度,211.8,98.8,0.9,1.6
2007年第三季度,329.0,98.6,1.3,3.6
2007年第四季度,485.2,98.8,1.2,3.6
2008年第一季度,132.1,98.0,1.8,-1.9
2008年第二季度,252.7,97.5,-1.1,5.8
2008年第三季度,378.0,97.6,-0.7,12.1
2008年第四季度,562.1,99.3,-0.1,18.9
2009年第一季度,138.2,118.6,8.8,-10.6
2009年第二季度,309.3,99.9,2.7,1.8
2009年第三季度,434.7,99.2,-2.6,9.1
2009年第四季度,628.5,102.1,1.3,2.2
2010年第一季度,207.9,100.1,-2.0,-2.2
2010年第二季度,408.4,99.5,-0.5,0.2
2010年第三季度,597.9,98.2,-2.6,8.3
2010年第四季度,873.3,98.4,-1.4,12.6
2011年第一季度,237.3,101.9,1.7,-4.4
2011年第二季度,471.9,98.9,0.2,6.5
2011年第三季度,689.0,97.0,-0.4,12.4
2011年第四季度,1021.8,100.0,0.2,16.6
2012年第一季度,286.2,100.9,-0.9,5.6
2012年第二季度,528.1,99.0,1.7,8.3
2012年第三季度,794.5,99.9,3.3,2.9
2012年第四季度,1126.7,98.1,0.9,20.1
2013年第一季度,285.1,94.3,-3.2,-0.2
2013年第二季度,569.2,97.1,-0.9,13.6
2013年第三季度,833.6,96.5,-2.5,24.0
2013年第四季度,1166.2,95.6,-3.5,46.5
2014年第一季度,297.5,100.2,-0.3,-0.3
2014年第二季度,591.0,96.8,0.2,10.6
2014年第三季度,855.5,96.1,-0.2,20.1
2014年第四季度,1202.6,96.1,0.7,27.7
2015年第一季度,318.7,103.4,3.4,-5.4
2015年第二季度,611.5,98.7,2.3,2.6
2015年第三季度,914.4,97.9,2.5,4.4
2015年第四季度,1278.8,98.0,2.5,15.9
2016年第一季度,337.0,102.2,-1.4,-3.6
2016年第二季度,643.6,98.9,-0.3,3.3
2016年第三季度,939.0,97.1,-0.6,9.9
2016年第四季度,1305.7,96.9,0.1,14.8
2017年第一季度,355.5,106.6,3.7,-7.7
2017年第二季度,685.3,101.1,2.6,-3.2
数据来源：国家统计局
