数据库：年度数据
时间：1989-
时间,年末总人口(万人),男性人口(万人),女性人口(万人),城镇人口(万人),乡村人口(万人)
1989年,112704,58099,54605,29540,83164
1990年,114333,58904,55429,30195,84138
1991年,115823,59466,56357,31203,84620
1992年,117171,59811,57360,32175,84996
1993年,118517,60472,58045,33173,85344
1994年,119850,61246,58604,34169,85681
1995年,121121,61808,59313,35174,85947
1996年,122389,62200,60189,37304,85085
1997年,123626,63131,60495,39449,84177
1998年,124761,63940,60821,41608,83153
1999年,125786,64692,61094,43748,82038
2000年,126743,65437,61306,45906,80837
2001年,127627,65672,61955,48064,79563
2002年,128453,66115,62338,50212,78241
2003年,129227,66556,62671,52376,76851
2004年,129988,66976,63012,54283,75705
2005年,130756,67375,63381,56212,74544
2006年,131448,67728,63720,58288,73160
2007年,132129,68048,64081,60633,71496
2008年,132802,68357,64445,62403,70399
2009年,133450,68647,64803,64512,68938
2010年,134091,68748,65343,66978,67113
2011年,134735,69068,65667,69079,65656
2012年,135404,69395,66009,71182,64222
2013年,136072,69728,66344,73111,62961
2014年,136782,70079,66703,74916,61866
2015年,137462,70414,67048,77116,60346
注：1981年及以前人口数据为户籍统计数；1982、1990、2000、2010年数据为当年人口普查数据推算数；其余年份数据为年度人口抽样调查推算数据。总人口和按性别分人口中包括现役军人，按城乡分人口中现役军人计入城镇人口。
数据来源：国家统计局
