田***0,2017-08-23 11:26:19,不错
q***5,2017-08-23 11:00:54,酒已经收到了，还没喝喝了在追评
大***6,2017-08-23 10:32:31,好评
潘***生,2017-08-23 10:32:07,商品不去评价他，店铺员工服务态度如果10分的我放真的想给个0分，服务态度真的有待改进，真的是太差太差了，多回复几个字都没有。
布***c,2017-08-23 10:27:53,好
m***8,2017-08-23 08:04:51,好评  质量好  便宜
h***2,2017-08-22 16:42:04,拍起来太难了，存着过年喝喝
z***6,2017-08-22 14:39:30,非常不错！
l***3,2017-08-22 08:19:24,好不容易抢到的，好评！
j***己,2017-08-21 23:16:13,支持国货，喝茅台！
j***己,2017-08-21 23:16:01,支持国货，喝茅台！
数***2,2017-08-21 18:48:38,好
数***2,2017-08-21 18:48:28,好
数***2,2017-08-21 18:48:16,好
t***哥,2017-08-21 15:50:01,客服的话根本不能信，发票系统又有漏洞，服务态度也不好
t***哥,2017-08-21 15:49:02,发票系统简直垃圾，系统不让改信息，到头来自己下载发票，客服还怪我不会修改
森***3,2017-08-21 13:44:11,国酒茅台，涨疯了，一茅难求！
孙***乖,2017-08-21 13:35:55,茅台实在是太难抢了，一茅难求！
卫***7,2017-08-21 13:33:22,收藏了，过节，送朋友！
s***1,2017-08-21 11:05:37,不错，不错。
雍***安,2017-08-21 10:10:58,包装非常仔细，物流也很快
a***0,2017-08-21 09:53:24,好！
晚***啊,2017-08-21 03:16:44,非常好，就是商家出的太少了。
李***家,2017-08-20 22:25:50,感觉打开盒子有酒味，漏了
a***n,2017-08-20 20:58:22,好难抢哦。
w***i,2017-08-20 20:13:58,吾已消费淘宝十数年，深知各产品琳琅满目。然，唯此宝物与众皆不同， 为出淤泥之清莲。使吾为之 动容，心驰神往。乃至饭不能食，寝则不安，辗转反侧 无法忘怀。于是乎紧衣缩食，凑齐银两，倾吾所能而买。强哥之热心与快递员之殷切让人感染，感激怜涕。打开包裹之时，顿时金光四射，屋内升起七彩祥云，处处都是祥和之气。吾惊讶之余更是欣喜若狂，呜呼哀哉！此宝乃是天上物，人间又得几回求！遂沐浴更衣， 焚香祷告后与家人共赏此宝。妻则赞叹不已，不仅赞叹此宝物款型及做工，超高性价比！且赞吾独具慧眼与时尚品位，更予红唇相赠。 产品介绍果然句句实言，毫无夸大欺瞒之嫌。此属大家风范，忠义之商贾。 吾已消费淘宝十数年，深知各产品琳琅满目。然，唯此宝物与众皆不同， 为出淤泥之清莲。使吾为之 动容，心驰神往。乃至饭不能食，寝则不安，辗转反侧 无法忘怀。于是乎紧衣缩食，凑齐银两，倾吾所能而买。强哥之热
t***3,2017-08-20 18:39:11,值得收藏和送人
t***3,2017-08-20 18:38:47,不会坏，快递也很快
t***3,2017-08-20 18:38:27,香，存着
t***3,2017-08-20 18:38:05,物流快，好
小***r,2017-08-20 15:04:54,包装结实，收到后检查完美无漏酒。
崔***j,2017-08-20 11:58:33,很六
w***t,2017-08-20 09:31:48,包装很好！
小***n,2017-08-20 07:56:44,每次抢2瓶弄了一箱，包装严实，自己不喝酒全送人的
