时间,商品名,价格,销量
2017-8-11,【酒厂自营】茅台王子酒 46度 500ml贵州茅台王子酱香型白酒,169,799
2017-8-11,悠蜜蓝莓利口酒三瓶（8度）+蓝莓干两袋（4色随机）组合,258,4
2017-8-11,【酒厂自营】茅台汉酱酒 51度 375ml贵州茅台 汉酱酒酱香白酒,368,47
2017-8-11,【酒厂自营】茅台干红葡萄酒特选级750ml,179,69
2017-8-11,赖茅酒（端曲）53度500ml,199,186
2017-8-11,【酒厂自营】茅台干红葡萄酒（红色喜庆）11%vol750ml,49,218
2017-8-11,【酒厂自营】茅台干红葡萄酒（蓝色喜庆）11%vol750ml,49,286
2017-8-11,【酒厂自营】750m珍藏级 干红葡萄酒（单支）,229,251
2017-8-11,【酒厂自营】汉酱酒51度125ml*4瓶装贵州茅台股份酱香型礼盒,468,182
2017-8-11,【酒厂自营】凤祥迎宾53度500ml,139,562
2017-8-11,【酒厂自营】茅台醇52度500ml贵州茅台技开地之醇浓香型白酒,289,82
2017-8-11,【酒厂自营】2013款茅台迎宾酒53度500ml,119,4356
2017-8-11,【酒厂自营】茅台王子酒53度 500ml酱门经典茅台股份酱香白酒,289,1645
2017-8-11,【酒厂自营】53度茅台王子酒500ml,189,3752
2017-8-11,【酒厂自营】 悠蜜umeet蓝莓利口酒 茅台伴侣绿野仙子,78,335
2017-8-11,酒厂自营 悠蜜umeet蓝莓利口酒 茅台伴侣红唇佳人 12度,78,636
2017-8-11,【酒厂自营】 悠蜜umeet蓝莓利口酒 8度三瓶组合,208,132
2017-8-11,【酒厂自营】贵州大曲（80年代电商专享）,299,1002
2017-8-11,酒厂自营 悠蜜umeet蓝莓利口酒 茅台伴侣紫魅公主 12度,78,395
2017-8-11,【酒厂自营】茅台醇52度500ml贵州茅台技开天之醇浓香型白酒,399,13
2017-8-11,【酒厂自营】茅台干红葡萄酒国韵11%vol750ml,39,1332
2017-8-11,【酒厂自营】茅台醇52度 500ml贵州茅台技开人之醇浓香型白酒,229,50
2017-8-11,【酒厂自营】茅台迎宾酒43度500ml,99,4533
2017-8-11,酒厂自营 悠蜜umeet蓝莓利口酒 茅台伴侣6色组合装,408,9139
2017-8-11,悠蜜蓝莓利口酒三瓶（12度）+蓝莓干两袋（4色随机）组合,258,4
2017-8-11,【酒厂自营】茅台醇福醇53度500ml,589,175
2017-8-11,【酒厂自营】 悠蜜umeet蓝莓利口酒 12度三瓶组合,208,116
2017-8-11,【酒厂自营】汉酱酒51度125ml贵州茅台股份酱香型汉酱白酒,129,259
2017-8-11,【酒厂自营】仁酒53度125ml贵州茅台仁酒茅台股份酱香型白酒,119,209
2017-8-11,【酒厂自营】茅台醇美醇53度500ml,389,172
2017-8-11,【酒厂自营】 悠蜜umeet蓝莓利口酒 茅台伴侣烈焰女王,78,1093
