"报表日期","货币资金","交易性金融资产","应收票据","应收账款","预付款项","应收保费","应收利息","应收股利","其他应收款","应收出口退税","应收补贴款","应收保证金","内部应收款","存货","待摊费用","待处理流动资产损益","一年内到期的非流动资产","其他流动资产","特殊处理本身不平流动资产","特殊处理格式不同流动资产","流动资产合计","发放贷款及垫款","可供出售金融资产","持有至到期投资","长期应收款","长期股权投资","其他长期投资","投资性房地产","固定资产原值","累计折旧","固定资产净值","固定资产减值准备","固定资产净额","在建工程","工程物资","固定资产清理","生产性生物资产","公益性生物资产","油气资产","无形资产","开发支出","商誉","长期待摊费用","股权分置流通权","递延所得税资产","其他非流动资产","特殊处理本身不平非流动资产","特殊处理格式不同非流动资产","非流动资产合计","特殊处理本身不平总资产","特殊处理格式不同总资产","资产总计","短期借款","交易性金融负债","应付票据","应付账款","预收款项","应付职工薪酬","应交税费","应付利息","应付股利","其他应交款","应付保证金","内部应付款","其他应付款","预提费用","预计流动负债","应付分保账款","国际票证结算","国内票证结算","一年内的递延收益","应付短期债券","一年内到期的非流动负债","其他流动负债","特殊处理本身不平流动负债","特殊处理格式不同流动负债","流动负债合计","长期借款","应付债券","长期应付款","专项应付款","预计非流动负债","长期递延收益","递延所得税负债","其他非流动负债","特殊处理本身不平长期负债","特殊处理格式不同长期负债","非流动负债合计","特殊处理本身不平负债合计","特殊处理格式不同负债合计","负债合计","实收资本(或股本)","资本公积","减：库存股","专项储备","盈余公积","一般风险准备","未确定的投资损失","未分配利润","拟分配现金股利","外币报表折算差额","特殊处理本身不平股东权益","特殊处理格式不同股东权益","归属于母公司股东权益合计","少数股东权益","特殊处理本身不平股东权益","特殊处理格式不平股东权益","所有者权益(或股东权益)合计","特殊处理本身不平负债及权益","特殊处理格式不同负债及权益","负债和所有者权益","结算备付金","拆出资金","衍生金融资产","应收分保账款","应收分保合同准备金","买入返售金融资产","向中央银行借款","吸收存款及同业存放","拆入资金","衍生金融负债","卖出回购金融资产款","应付手续费及佣金","保险合同准备金","代理买卖证券款","代理承销证券款"
20170331,4497354839.59,,2703454538.71,8473880.88,57475332.98,,19147700,,284462895.95,,,,,2408688710.43,,,,108673835.96,,,10087731734.5,,328775998.69,,,1730350708.6,,,,,,,1148892641.56,378487481.92,,,,,,233923955.42,,,,,382408097.75,4314.05,,,4202843197.99,,,14290574932.49,,,,516400893.49,833821620.5,104056064.66,244593167.17,,22400652.46,,,,556130971.45,,,,,,,,,,,,2277403369.73,,,,,,23895906.58,57491521.53,,,,81525266.12,,,2358928635.85,1402252476,650609324.27,,,1402252476,,,8175382638.67,,,,,11813151480.34,118494816.3,,,11931646296.64,,,14290574932.49,,,,,,,,,,,,,,,
20161231,4765292939.21,,1952382726.92,3898676.86,91778994.09,,10295300,,219537091.95,,,,,2488287331.58,,,,153414396.8,,,9684887457.41,,322360055.18,,,1712154381.55,,,2427375758.33,1247965104.63,1179410653.7,622940.07,1178787713.63,183870575.51,,,,,,235276906.7,,,,,356694148.64,4314.05,,,3989148095.26,,,13674035552.67,,,,485288661.39,1070802027.81,134509716.33,297536303.26,,22400652.46,,,,452848574.96,,,,,,,,,,,,2463385936.21,,,,,,29913897.37,55963516.06,,,,86015251.44,,,2549401187.65,1402252476,651340124.27,,,1402252476,,,7397874451.5,,,,,11030504418.15,94129946.87,,,11124634365.02,,,13674035552.67,,,,,,,,,,,,,,,
20160930,4269677770.42,,2318905737.16,9575329.89,25848210.12,,7649900,,284294729.06,,,,,2527775198.23,,,,113066267.22,,,9556793142.1,,303960069.37,,,1664085416.6,,,,,,,1066651357.34,132094211.14,,,,,,237351637.01,,,,,309375080.38,1777195.64,,,3715294967.48,,,13272088109.58,,,,432407864.97,1270724420.15,84372354.12,286881097.71,,,,,,373807030.17,,,,,,,,,,,,2448192767.12,,,,,,30091264.89,53863519.6,,,,84427842.1,,,2532620609.22,1402252476,651340124.27,,,1402252476,,,6976507700.22,,,,,10600670042,138797458.36,,,10739467500.36,,,13272088109.58,,,,,,,,,,,,,,,
20160630,5090446574.76,,1680014274.62,6177343.68,52549185.82,,7763300,31371206.15,231774781.96,,,,,2440451426.2,,,,166159849.83,,,9706707943.02,,306347007.47,,,1561267840.46,,,2420024058.24,1299608578.06,1120415480.18,5983869.33,1114431610.85,128645642.47,,,,,,239426427.63,,,,,264556613.07,1777195.64,,,3616452337.59,,,13323160280.61,,,,442925566.14,662460155.52,68309430.16,197599440.48,,1121801980.8,,,,399664070.96,,,,,,,,,,,,2892760644.06,,,,,,33663044.53,54460254.12,,,,88596356.26,,,2981357000.32,1402252476,651340124.27,,,1402252476,,,6582546879.39,,,,,10208809987.07,132993293.22,,,10341803280.29,,,13323160280.61,,,,,,,,,,,,,,,
20160331,4266686089.62,,1659375571.9,10079571.43,68890584.78,,18601300,,235211446.24,,,,,2655699295.79,,,,267098919.59,,,9181642779.35,,328958841.71,,,1545836183.15,,,,,,,1072568099.16,184388577.24,,,,,,241501218.28,,,,,281101866.47,1777195.64,,,3656131981.65,,,12837774761,,,,345530972.3,897863161.65,52729638.01,76945631.12,,36202505.07,,,,397382594.74,,,,,,,,,,,,1806654502.89,,,,,,29252881.48,60113212.68,,,,89839151.77,,,1896493654.66,1402252476,653218046.57,,,1402252476,,,7187734354.56,,,,,10833731126.74,107549979.6,,,10941281106.34,,,12837774761,,,,,,,,,,,,,,,
20151231,3539506611.4,,2268110161.56,12226328.76,94997045.2,,11619900,,215070887.39,,,,,2859998734.39,,,,371860435.74,,,9373390104.44,,378279459.14,,,1522910942.42,,,2340489013.14,1223977802.54,1116511210.6,5983869.33,1110527341.27,182954414.8,,,,,,243576008.96,,,,,368258228.12,1777195.64,,,3808283590.35,,,13181673694.79,,,,321256679.12,1598383502.11,85672233.93,286300625.23,,36202505.07,,,,385631047.68,,,,,,,,,,,,2713446593.14,,,,,,32955178.61,72449617.04,,,,105877853.26,,,2819324446.4,1402252476,652078482.34,,,1402252476,,,6593460633.89,,,,,10276158778.85,86190469.54,,,10362349248.39,,,13181673694.79,,,,,,,,,,,,,,,
20150930,3543110823.58,,1563688572.7,9912382.23,90927528.76,,3328400,1177699.7,288905573.71,,,,,3030508580.16,,,,230271826.27,,,8761831387.11,,307521355.79,,,1531114323.24,,,,,,,979855721.32,298577925.05,,,,,,245548909.32,,,,,341075163.04,10565959.57,,,3714259357.33,,,12476090744.44,,,27160000,292146780.58,1218288672.92,66495455.29,135076057.85,,7975339.94,,,,458408909.81,,,,,,,,,,,,2205551216.39,,,,,,41671181.14,54753841.21,,,,98076544.8,,,2303627761.19,1402252476,652078482.34,,,1402252476,,,6443292278.21,,,,,10071890212.14,100572771.11,,,10172462983.25,,,12476090744.44,,,,,,,,,,,,,,,
20150630,3438596416.42,,2854296052.24,11690777.78,72447260.65,,11136500,46906.65,222873985.97,,,,,2892398619.91,,,,281027404.02,,,9784513923.64,,462778715.77,,,1453633583.82,,,2176465113.05,1152495472.17,1023969640.88,5983869.33,1017985771.55,294756857.2,,,,,,247390985.12,,,,,318583463.39,10577778.21,,,3805707155.06,,,13590221078.7,,,111810000,419508204.54,1085351017.09,60232342.05,206943489.26,,1165507224.91,,,,392210212.29,,,,,,,,,,,,3441562490.14,,,,,,39924319.48,103848181.21,,,,145424023.14,,,3586986513.28,1402252476,652078482.34,,,1402252476,,,6141957582.78,,,,,9922857213.12,80377352.3,,,10003234565.42,,,13590221078.7,,,,,,,,,,,,,,,
20150331,4393365433.68,,2315986838.08,11290612.58,112983378.09,,11237550,,331750483.03,,,,,2882901426.81,,,,334842825.16,,,10394358547.43,,66885468.15,,,1253035126.59,,,,,,,1052140292.73,293084902.28,,,,,,249396762.96,,,,,323120512.87,10577778.21,,,3248240843.79,,,13642599391.22,,,158430000,277970721.53,2177369095.24,51582326.76,114258427.81,,49794576.31,,,,403211358.75,,,,,,,,,,,,3232616506.4,,,,,,39032652.81,4874869.29,,,,45559044.55,,,3278175550.95,1402252476,652078482.34,,,1402252476,,,6781347949.05,,,,,10256594984.59,107828855.68,,,10364423840.27,,,13642599391.22,,,,,,,,,,,,,,,
20141231,4709607474.33,,1456912013.03,4705568.29,124025264.61,,15356850,,317639367.04,,,,,2826992567.86,,,,464347488.57,,,9919586593.73,,61975905.45,,,1222154508.74,,,2170848093.61,1078371736.74,1092476356.87,5983869.33,1086492487.54,285439418.78,,,,,,251461871.32,,,88401.43,,333042004.28,10577778.21,,,3251232375.75,,,13170818969.48,,,126410000,236850161.31,2311650251.32,85377552.68,109103058.73,,52358380.17,,,,411697617.51,,,,,,,,,,,,3333447021.72,,,,,,38740986.14,3647478.61,,,,44039987.2,,,3377487008.92,1402252476,652078482.34,,,1402252476,,,6242284506.09,,,,,9713103886.32,80228074.24,,,9793331960.56,,,13170818969.48,,,,,,,,,,,,,,,
