"报表期起始日","报表期截止日","销售商品、提供劳务收到的现金","客户存款和同业存放款项净增加","向中央银行借款净增加额","向其他金融机构拆入资金净增加","收到原保险合同保费取得的现金","收到再保险业务现金净额","保户储金及投资款净增加额","处置交易性金融资产净增加额","收取利息、手续费及佣金的现金","拆入资金净增加额","回购业务资金净增加额","收到的税费返还","收到的其他与经营活动有关的现","特殊处理本身不平经营流入","特殊处理格式不同经营流入","经营活动现金流入小计","购买商品、接受劳务支付的现金","客户贷款及垫款净增加额","存放中央银行和同业款项净增加","支付原保险合同赔付款项的现金","支付利息、手续费及佣金的现金","支付保单红利的现金","支付给职工以及为职工支付的现","支付的各项税费","支付的其他与经营活动有关的现","特殊处理本身不平经营流出","特殊处理格式不同经营流出","经营活动现金流出小计","特殊处理本身不平经营净额","特殊处理格式不同经营净额","一、经营活动产生的现金流量净","收回投资所收到的现金","取得投资收益收到的现金","处置固定资产、无形资产和其他","处置子公司及其他营业单位收到","收到的其他与投资活动有关的现","减少质押和定期存款所收到的现","特殊处理本身不平投资流入","特殊处理格式不同投资流入","投资活动现金流入小计","购建固定资产、无形资产和其他","投资所支付的现金","质押贷款净增加额","取得子公司及其他营业单位支付","支付的其他与投资活动有关的现","增加质押和定期存款所支付的现","特殊处理本身不平投资流出","特殊处理格式不同投资流出","投资活动现金流出小计","特殊处理本身不平投资净额","特殊处理格式不同投资净额","二、投资活动产生的现金流量净","吸收投资收到的现金","其中：子公司吸收少数股东投资","取得借款收到的现金","发行债券收到的现金","收到其他与筹资活动有关的现金","特殊处理本身不平筹资流入","特殊处理格式不同筹资流入","筹资活动现金流入小计","偿还债务支付的现金","分配股利、利润或偿付利息所支","其中：子公司支付给少数股东的","支付其他与筹资活动有关的现金","特殊处理本身不平筹资流出","特殊处理格式不同筹资流出","筹资活动现金流出小计","特殊处理本身不平筹资净额","特殊处理格式不同筹资净额","三、筹资活动产生的现金流量净","四、汇率变动对现金及现金等价","特殊处理本身不平现金净额","特殊处理格式不同现金净额","五、现金及现金等价物净增加额","期初现金及现金等价物余额","特殊处理本身不平现金期末","特殊处理格式不同现金期末","六、期末现金及现金等价物余额","净利润","少数股东权益","未确认的投资损失","资产减值准备","固定资产折旧、油气资产折耗、","投资性房地产折旧、摊销","无形资产摊销","长期待摊费用摊销","待摊费用的减少","预提费用的增加","处置固定资产、无形资产和其他","固定资产报废损失","公允价值变动损失","递延收益增加（减：减少）","预计负债","财务费用","投资损失","递延所得税资产减少","递延所得税负债增加","存货的减少","经营性应收项目的减少","经营性应付项目的增加","已完工尚未结算款的减少(减:","已结算尚未完工款的增加(减:","其他","特殊处理本身不平经营净额附表","特殊处理格式不同经营净额附表","经营活动产生现金流量净额","债务转为资本","一年内到期的可转换公司债券","融资租入固定资产","现金的期末余额","现金的期初余额","现金等价物的期末余额","现金等价物的期初余额","特殊处理本身不平现金净额附表","特殊处理格式不同现金净额附表","现金及现金等价物的净增加额"
20170101,20170331,6738494791.27,,,,,,,,,,,,52426720.03,,,6790921511.3,1968787821.23,,,,,,491558528.54,2575151727.38,585048997.15,,,5620547074.3,,,1170374437,4051042965.95,48379094.75,128933.09,,,,,,4099550993.79,92734436.6,6048597237.02,,1703970.69,,,,,6143035644.31,,,-2043484650.52,,,,,,,,0,36364,3927,,,,,40291,,,-40291,-2059455.68,,,-875209960.2,2456627358.97,,,1581417398.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581417398.77,2456627358.97,,,,,-875209960.2
20160101,20161231,22869510223.76,,,,,,,,,,,,121047134.82,,,22990557358.58,6203990821.87,,,,,,1510429701.3,5758348700.63,2112743534.16,,,15585512757.96,,,7405044600.62,8035647871.18,422339653.09,7726084.69,,,,,,8465713608.96,480211104.59,13758155971.19,,191679668.48,,,,,14430046744.26,,,-5964333135.3,,,,,,,,0,83536364,2713542761.01,80672.15,900000000,,,3697079125.01,,,-3697079125.01,5198479.25,,,-2251169180.44,4707796539.41,,,2456627358.97,5804929113.99,,,47998911,629710645.12,,95644671.94,5241156.99,,,5823628.96,,,,,-3336178.17,-547210021.5,28714211.7,-14401042.72,-883707312.2,-229079055.9,2464715871.41,,,,,,7405044600.62,,,,2456627358.97,4707796539.41,,,,,-2251169180.44
20160101,20160930,16772080578.11,,,,,,,,,,,,246470938.3,,,17018551516.41,4373129338.58,,,,,,945525014.92,4809595196.92,1379843357.66,,,11508092908.08,,,5510458608.33,13759898556.57,270282423.25,1665769.29,,,,,,14031846749.11,381805323.36,14800864702.37,,191679668.48,,,,,15374349694.21,,,-1342502945.1,,,,,,,,0,83536364,2712831821.37,80672.15,900000000,,,3696368185.37,,,-3696368185.37,-3220189.39,,,468367288.47,4707796539.41,,,5176163827.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5176163827.88,4707796539.41,,,,,468367288.47
20160101,20160630,11181935109.04,,,,,,,,,,,,222450723.78,,,11404385832.82,3199900755.71,,,,,,767152957.36,3786950334.85,806433572.41,,,8560437620.33,,,2843948212.49,10225637966.08,148430504.08,40375.16,,,,,,10374108845.32,359356527.36,11966381782.38,,40060828.94,,,,,12365799138.68,,,-1991690293.36,,,,,,,,0,36364,2712585527,,900000000,,,3612621891,,,-3612621891,-1493841.96,,,-2761857813.83,4707796539.41,,,1945938725.58,3419446732.77,,,-158042.67,295040682.86,,47397831.8,461727.38,,,5225190.14,,,,,1500968.96,-150481081.97,-104259133.87,-6469096.73,510267815.46,65593288.54,-1239618670.18,,,,,,2843948212.49,,,,1945938725.58,4707796539.41,,,,,-2761857813.83
20160101,20160331,7336587145.34,,,,,,,,,,,,206037154.34,,,7542624299.68,1541338647.92,,,,,,418009366.6,2577893013.4,489274602.49,,,5026515630.41,,,2516108669.27,2268900000,81744230.38,39089.66,,,,,,2350683320.04,191777901.1,4437847244.73,,,,,,,4629625145.83,,,-2278941825.79,,,,,,,,0,,,,,,,0,,,0,-1184556.99,,,235982286.49,4707796539.41,,,4943778825.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4943778825.9,4707796539.41,,,,,235982286.49
20150101,20151231,19491655594.6,,,,,,,,,,,,413172934.43,,,19904828529.03,5758979854.69,,,,,,1240547563.42,5298812457.41,1770133324.84,,,14068473200.36,,,5836355328.67,3110449431.24,129803811.26,4429600.9,4586709.1,52092900,,,,3301362452.5,719529163.85,6258135020.78,,,,,,,6977664184.63,,,-3676301732.13,,,,,1600000000,,,1600000000,36364,2152849600,,1245031205.57,,,3397917169.57,,,-1797917169.57,-1291538.77,,,360844888.2,4346951651.21,,,4707796539.41,5365199298.22,,,11906754.26,527475124.56,,91333763.69,1356574.23,,,-984508.61,,,,,46322744.34,-577938625,-24620719.57,-13013245.46,-1024497611.99,-28446785.83,1462262565.83,,,,,,5836355328.67,,,,4707796539.41,4346951651.21,,,,,360844888.2
20150101,20150930,15302448962.53,,,,,,,,,,,,426289182.14,,,15728738144.67,4446387142.94,,,,,,875520106.1,4291340043.42,1356320126.37,,,10969567418.83,,,4759170725.84,2135550000,157006950.52,635730,4586709.1,52092900,,,,2349872289.62,621392958.42,2382538772.29,,,,,,,3003931730.71,,,-654059441.09,,,,,1600000000,,,1600000000,,2152840000,,845031205.57,,,2997871205.57,,,-1397871205.57,147608.72,,,2707387687.9,4346951651.21,,,7054339339.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7054339339.11,4346951651.21,,,,,2707387687.9
20150101,20150630,9954115900.83,,,,,,,,,,,,373703527.52,,,10327819428.35,2661136194.14,,,,,,598217239.01,3338842010.83,826388046.1,,,7424583490.08,,,2903235938.27,1704695024.33,13667998.69,635730,4586709.1,15000000,,,,1738585462.12,482940474.45,2156367917.38,,,,,,,2639308391.83,,,-900722929.71,,,,,1600000000,,,1600000000,,1917572513.2,,545031205.57,,,2462603718.77,,,-862603718.77,884609.37,,,1140793899.16,4346951651.21,,,5487745550.37,3184744174.19,,,2801359.59,250732441.63,,45494320.84,900671.96,,,-114813.72,,,,,45031205.57,-87508922.51,-105533816.61,-6551380.01,248283279.52,5121745.52,-680164327.7,,,,,,2903235938.27,,,,5487745550.37,4346951651.21,,,,,1140793899.16
20150101,20150331,7002823022.27,,,,,,,,,,,,163213206.53,,,7166036228.8,1531352150.13,,,,,,328962234.69,2298922647.96,408993629.11,,,4568230661.89,,,2597805566.91,771222070.85,,634191.54,4586709.1,,,,,776442971.49,362497836.51,996700606.24,,,,,,,1359198442.75,,,-582755471.26,,,,,700000000,,,700000000,,,,514428888.9,,,514428888.9,,,185571111.1,-1618.14,,,2200619588.61,4346951651.21,,,6547571239.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6547571239.82,4346951651.21,,,,,2200619588.61
20140101,20141231,16639756678.49,,,,,,,,,,,,449368169.88,,,17089124848.37,6363901212.89,,,,,,1093763085.26,5108219214.54,1811437203.52,,,14377320716.21,,,2711804132.16,5575192426.49,26249070.22,2719195.49,,57060000,,,,5661220692.2,1786518032.72,7317632197.02,,4129000,,,,,9108279229.74,,,-3447058537.54,,,,,2200000000,,,2200000000,951072728,2243411083.39,,1776662481.63,,,4971146293.02,,,-2771146293.02,-1493412.51,,,-3507894110.91,7854845762.12,,,4346951651.21,4508044232.13,,,37755915.44,446642452.74,,89827378.04,1460304.43,,,3808690.7,,,,,82670589.39,-53024440,105442146.39,-13115116.38,-1321009340.23,52564918.33,-1229063598.82,,,-200000,,,2711804132.16,,,,4346951651.21,7854845762.12,,,,,-3507894110.91
