"报表日期","货币资金","交易性金融资产","应收票据","应收账款","预付款项","应收保费","应收利息","应收股利","其他应收款","应收出口退税","应收补贴款","应收保证金","内部应收款","存货","待摊费用","待处理流动资产损益","一年内到期的非流动资产","其他流动资产","特殊处理本身不平流动资产","特殊处理格式不同流动资产","流动资产合计","发放贷款及垫款","可供出售金融资产","持有至到期投资","长期应收款","长期股权投资","其他长期投资","投资性房地产","固定资产原值","累计折旧","固定资产净值","固定资产减值准备","固定资产净额","在建工程","工程物资","固定资产清理","生产性生物资产","公益性生物资产","油气资产","无形资产","开发支出","商誉","长期待摊费用","股权分置流通权","递延所得税资产","其他非流动资产","特殊处理本身不平非流动资产","特殊处理格式不同非流动资产","非流动资产合计","特殊处理本身不平总资产","特殊处理格式不同总资产","资产总计","短期借款","交易性金融负债","应付票据","应付账款","预收款项","应付职工薪酬","应交税费","应付利息","应付股利","其他应交款","应付保证金","内部应付款","其他应付款","预提费用","预计流动负债","应付分保账款","国际票证结算","国内票证结算","一年内的递延收益","应付短期债券","一年内到期的非流动负债","其他流动负债","特殊处理本身不平流动负债","特殊处理格式不同流动负债","流动负债合计","长期借款","应付债券","长期应付款","专项应付款","预计非流动负债","长期递延收益","递延所得税负债","其他非流动负债","特殊处理本身不平长期负债","特殊处理格式不同长期负债","非流动负债合计","特殊处理本身不平负债合计","特殊处理格式不同负债合计","负债合计","实收资本(或股本)","资本公积","减：库存股","专项储备","盈余公积","一般风险准备","未确定的投资损失","未分配利润","拟分配现金股利","外币报表折算差额","特殊处理本身不平股东权益","特殊处理格式不同股东权益","归属于母公司股东权益合计","少数股东权益","特殊处理本身不平股东权益","特殊处理格式不平股东权益","所有者权益(或股东权益)合计","特殊处理本身不平负债及权益","特殊处理格式不同负债及权益","负债和所有者权益","结算备付金","拆出资金","衍生金融资产","应收分保账款","应收分保合同准备金","买入返售金融资产","向中央银行借款","吸收存款及同业存放","拆入资金","衍生金融负债","卖出回购金融资产款","应付手续费及佣金","保险合同准备金","代理买卖证券款","代理承销证券款"
20170331,36444229729.18,,13159107548.99,153556780.75,363047875.53,,696005435.28,,31034384.08,,,,,9364037239.77,,,,,,,60211018993.58,,1200000,,,794643093.02,,,,,,,5357774717.21,348440047.03,1761078.76,428414.15,,,,403375212.82,,1621619.53,123455998.7,,622896896.26,,,,7655597077.48,,,67866616071.06,,,393457461.22,3040708704.78,6237059999.73,2277365113.01,1623532023.67,,,,,,2068230974.09,,,,,,,,,,,,15640354276.5,,,,,,281197499.87,,,,,281197499.87,,,15921551776.37,3795966720,953255757.17,,,9352029056.75,,,36568590646.2,,,,,50669842180.12,1275222114.57,,,51945064294.69,,,67866616071.06,,,,,,,,,,,,,,,
20161231,34665917836.05,,9579098215.23,107702772.21,271649757.8,,604019151.69,,18782965.6,,,,,9257369374.48,,,,,,,54504540073.06,,1200000,,,794643093.02,,,13698089108.68,8261621023.73,5436468084.95,5382351.79,5431085733.16,292881811.61,1667017.72,376757.14,,,,402445490.66,,1621619.53,125948144.17,,617996843.13,,,,7669866510.14,,,62174406583.2,,,327474650.48,2171287638.14,6298680313.88,2273948506.89,1091867750.03,,,,,,1524627778.99,,,,,,,,,,,,13687886638.41,,,,,,280660735.09,,,,,280660735.09,,,13968547373.5,3795966720,953255757.17,,,9352029056.75,,,32975478205.41,,,,,47076729739.33,1129129470.37,,,48205859209.7,,,62174406583.2,,,,,,,,,,,,,,,
20160930,33661137100.45,,8483681711.95,127688546.06,281844564.43,,553030925.94,,76936616.31,,,,,9442953679.82,,,,,,,52627273144.96,,1200000,,,776343407.57,,,,,,,5075825005.04,679794179,1667017.72,3915320.77,,,,405058608.17,,1621619.53,96525402.33,,675871507.95,,,,7717822068.08,,,60345095213.04,,,281697340.71,1534554612.89,6723035776.49,2401117225.57,1077097693.23,,70146471.42,,,,1521840057.29,,,,,,,,,,,,13609489177.6,,,,,,283219485.1,,,,,289896825.1,,,13899386002.7,3795966720,953255757.17,,,8172440644.01,,,32471846535.46,,,,,45393509656.64,1052199553.7,,,46445709210.34,,,60345095213.04,,,,,,,,,,,,,,,
20160630,30573225873.51,,11151897352.93,124322436.6,314006426.76,,579948348.64,,63325655.53,,,,,9355869460.91,,,,,,,52162595554.88,,1200000,,,777443407.57,,,13281801076.71,8102609292.72,5179191783.99,470000,5178721783.99,651606385.32,1667017.72,547544.29,,,,408260788.24,,1621619.53,96261860.17,,682999347.14,,,,7800329753.97,,,59962925308.85,,,217131959.85,1608905206.84,4416995952.94,2416873000.23,1024186092.38,,3036773376,,,,1674159681.18,,,,,,,,,,,,14395025269.42,,,,,,226158235.11,,,,,232835575.11,,,14627860844.53,3795966720,953255757.17,,,8172440644.01,,,31257346493.07,,,,,44179009614.25,1156054850.07,,,45335064464.32,,,59962925308.85,,,,,,,,,,,,,,,
20160331,27021018337.57,,16167613235.6,146053117.66,389494047.28,,434804190.7,,32211234.28,,,,,8929792868.56,,,,,,,53120987031.65,,1200000,,,866009462.48,,,,,,,5243340408.95,621285037.23,1667017.72,29416.67,,,,410580251.27,,1621619.53,102748671.52,,614806961.21,,,,7863288846.58,,,60984275878.23,,,168562188.22,1571631407.61,6826442994.04,2210304258.06,1130744682.31,,,,,,1489404677.67,,,,,,,,,,,,13397090207.91,,,,,,227016985.12,,,,,233694325.12,,,13630784533.03,3795966720,953255757.17,,,8172440644.01,,,33310418920.94,,,,,46232082042.12,1121409303.08,,,47353491345.2,,,60984275878.23,,,,,,,,,,,,,,,
20151231,26374190180.51,,8665339281.59,106953033.25,332130005.32,,398511238.65,,19436307.34,,,,,8700851179.53,,,,,,,44597411226.19,,1200000,,,902009462.48,,,13260854582.11,7912834635.23,5348019946.88,470000,5347549946.88,554771287.6,1667017.72,77252.92,,,,411690665.45,,1621619.53,88655857.09,,639980604.65,,,,7949223714.32,,,52546634940.51,,,206060495.8,1058247050.29,1993934055.91,2387050259.07,1042400938.18,,,,,,1279924101.98,,,,,,,,,,,,7967616901.23,,,,,,227179736.73,,,,,233857076.73,,,8201473977.96,3795966720,953203468.32,,,8172440644.01,,,30407306733.79,,,,,43328917566.12,1016243396.43,,,44345160962.55,,,52546634940.51,,,,,,,,,,,,,,,
20150930,25368524052.24,,5830649754.77,120971070.58,198250284.71,,393919064.1,,34183309.53,,,,,8530807984.95,,,,,,,40477305520.88,,1200000,,,879809253.45,,,,,,,5447067768.53,515231211.56,2345837.34,116193.38,,,,413781641.52,,1621619.53,96448663.36,,432266396.35,,,,7789888585.02,,,48267194105.9,,,246844082.42,884085345.92,656301527.12,2095979570.08,630566838.42,,,,,,849959453.27,,,,,,,,,,,,5363736817.23,,,1000000,,,186078486.74,,,,,191670132.74,,,5555406949.97,3795966720,953203468.32,,,7070005102.93,,,29936642832.48,,,,,41755818123.73,955969032.2,,,42711787155.93,,,48267194105.9,,,,,,,,,,,,,,,
20150630,22852502534.74,,7425023965.36,142355074.77,199040884.59,,371591340.93,,26192058.61,,,,,8507213622.4,,,,,,,39523919481.4,,1200000,,,879809253.45,,,13207529700.01,7637565405.13,5569964294.88,470000,5569494294.88,442337179.86,2345837.34,104795.98,,,,416329498.34,,1621619.53,81558733.78,,471621586.19,,,,7866422799.35,,,47390342280.75,,,209802069.42,974909229.63,621830322.54,2250908932.27,908856741.55,,,,,,895112768.73,,,,,,,,,,,,5861420064.14,,,1000000,,,187450268,,,,,193041914,,,6054461978.14,3795966720,953203468.32,,,7070005102.93,,,28631150864.28,,,,,40450326155.53,885554147.08,,,41335880302.61,,,47390342280.75,,,,,,,,,,,,,,,
20150331,24216910201.84,,7622456071.82,214776783.08,211099303.17,,256097826.94,,37919746.39,,,,,8253645529.48,,,,,,,40812905462.72,,1200000,,,867864898.54,,,,,,,5561162652.89,461155792.08,,588148.86,,,,418798824.29,,1621619.53,55458375.51,,484803224.09,,,,7852653535.79,,,48665558998.51,,,116354744.69,1149524453.6,778364798.67,2195342417.44,881400105,,,,,,763978112.34,,,,,,,,,,,,5884964631.74,,,1000000,,,147999018.01,,,,,153590664.01,,,6038555295.75,3795966720,953203468.32,,,7070005102.93,,,29812002585.86,,,,,41631177877.11,995825825.65,,,42627003702.76,,,48665558998.51,,,,,,,,,,,,,,,
20141231,22382106584.48,,7369422899.46,122947745.88,298155704.17,,216399146.66,,19560121.19,,,,,8091488733.56,,,,,,,38500080935.4,,1200000,,,867864898.54,,,13051755890.91,7374803573.26,5676952317.65,470000,5676482317.65,384533672.73,,,,,,421573592.34,,1621619.53,52451701.8,,503061914.86,,,,7908789717.45,,,46408870652.85,,,85449379.48,647043070,858110981.89,2272260762.63,1097979258.65,,,,,,964097340.1,,,,,,,,,,,,5924940792.75,,,1000000,,,145257768.02,,,,,150849414.02,,,6075790206.77,3795966720,953203468.32,,,7070005102.93,,,27611203050.69,,,,,39430378341.94,902702104.14,,,40333080446.08,,,46408870652.85,,,,,,,,,,,,,,,
