"报表期起始日","报表期截止日","销售商品、提供劳务收到的现金","客户存款和同业存放款项净增加","向中央银行借款净增加额","向其他金融机构拆入资金净增加","收到原保险合同保费取得的现金","收到再保险业务现金净额","保户储金及投资款净增加额","处置交易性金融资产净增加额","收取利息、手续费及佣金的现金","拆入资金净增加额","回购业务资金净增加额","收到的税费返还","收到的其他与经营活动有关的现","特殊处理本身不平经营流入","特殊处理格式不同经营流入","经营活动现金流入小计","购买商品、接受劳务支付的现金","客户贷款及垫款净增加额","存放中央银行和同业款项净增加","支付原保险合同赔付款项的现金","支付利息、手续费及佣金的现金","支付保单红利的现金","支付给职工以及为职工支付的现","支付的各项税费","支付的其他与经营活动有关的现","特殊处理本身不平经营流出","特殊处理格式不同经营流出","经营活动现金流出小计","特殊处理本身不平经营净额","特殊处理格式不同经营净额","一、经营活动产生的现金流量净","收回投资所收到的现金","取得投资收益收到的现金","处置固定资产、无形资产和其他","处置子公司及其他营业单位收到","收到的其他与投资活动有关的现","减少质押和定期存款所收到的现","特殊处理本身不平投资流入","特殊处理格式不同投资流入","投资活动现金流入小计","购建固定资产、无形资产和其他","投资所支付的现金","质押贷款净增加额","取得子公司及其他营业单位支付","支付的其他与投资活动有关的现","增加质押和定期存款所支付的现","特殊处理本身不平投资流出","特殊处理格式不同投资流出","投资活动现金流出小计","特殊处理本身不平投资净额","特殊处理格式不同投资净额","二、投资活动产生的现金流量净","吸收投资收到的现金","其中：子公司吸收少数股东投资","取得借款收到的现金","发行债券收到的现金","收到其他与筹资活动有关的现金","特殊处理本身不平筹资流入","特殊处理格式不同筹资流入","筹资活动现金流入小计","偿还债务支付的现金","分配股利、利润或偿付利息所支","其中：子公司支付给少数股东的","支付其他与筹资活动有关的现金","特殊处理本身不平筹资流出","特殊处理格式不同筹资流出","筹资活动现金流出小计","特殊处理本身不平筹资净额","特殊处理格式不同筹资净额","三、筹资活动产生的现金流量净","四、汇率变动对现金及现金等价","特殊处理本身不平现金净额","特殊处理格式不同现金净额","五、现金及现金等价物净增加额","期初现金及现金等价物余额","特殊处理本身不平现金期末","特殊处理格式不同现金期末","六、期末现金及现金等价物余额","净利润","少数股东权益","未确认的投资损失","资产减值准备","固定资产折旧、油气资产折耗、","投资性房地产折旧、摊销","无形资产摊销","长期待摊费用摊销","待摊费用的减少","预提费用的增加","处置固定资产、无形资产和其他","固定资产报废损失","公允价值变动损失","递延收益增加（减：减少）","预计负债","财务费用","投资损失","递延所得税资产减少","递延所得税负债增加","存货的减少","经营性应收项目的减少","经营性应付项目的增加","已完工尚未结算款的减少(减:","已结算尚未完工款的增加(减:","其他","特殊处理本身不平经营净额附表","特殊处理格式不同经营净额附表","经营活动产生现金流量净额","债务转为资本","一年内到期的可转换公司债券","融资租入固定资产","现金的期末余额","现金的期初余额","现金等价物的期末余额","现金等价物的期初余额","特殊处理本身不平现金净额附表","特殊处理格式不同现金净额附表","现金及现金等价物的净增加额"
20170101,20170331,7704893440.56,,,,,,,,,,,7978813.93,311400709.55,,,8024272964.04,1571495565.89,,,,,,1000142663.72,2861340911.2,747681155.97,,,6180660296.78,,,1843612667.26,,,1579366.99,,,,,,1579366.99,66866188.82,,,,,,,,66866188.82,,,-65286821.83,,,,,,,,0,,,,,,,0,,,0,-13952.3,,,1778311893.13,34665917836.05,,,36444229729.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36444229729.18,34665917836.05,,,,,1778311893.13
20160101,20161231,33044819191.48,,,,,,,,,,,35161976.57,854825585.61,,,33934806753.66,9565959989.07,,,,,,3198746989.09,7276097905.9,2197241300.39,,,22238046184.45,,,11696760569.21,107813538,36000000,5353619.61,,,,,,149167157.61,307337776.3,8000000,,-4911283.58,,,,,310426492.72,,,-161259335.11,15952288.85,15900000,,,2139760,,,18092048.85,,3212019610.56,175246234.56,,,,3212019610.56,,,-3193927561.71,153983.15,,,8341727655.54,26324190180.51,,,34665917836.05,7056765568.86,,,1389409.74,514034686.84,,13017183.08,46386919.69,,,6305863.92,,,,,-153983.15,-33428752.97,21983761.52,,-551733273.94,-1057744969.79,5679938155.41,,,,,,11696760569.21,,,,34596654426.98,26311138400.74,69263409.07,13051779.77,,,8341727655.54
20160101,20160930,22848292297.96,,,,,,,,,,,31695416.57,955871690.34,,,23835859404.87,3705764934.91,,,,,,2358857410.87,5446477487.34,1762369278.04,,,13273469111.16,,,10562390293.71,76100000,36000000,485842.2,,,,,,112585842.2,206243187.98,8000000,,,,,,,214243187.98,,,-101657345.78,15900000,15900000,,,2127260,,,18027260,,3141873139.14,175099763.14,,,,3141873139.14,,,-3123845879.14,59851.15,,,7336946919.94,26324190180.51,,,33661137100.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33661137100.45,26324190180.51,,,,,7336946919.94
20160101,20160630,13621985528.36,,,,,,,,,,,22259999.93,467033372.94,,,14111278901.23,2804626998.24,,,,,,1660122901.89,4172326226.11,1162960545.41,,,9800036671.65,,,4311242229.58,67000000,36000000,455569.2,,,,,,103455569.2,167783179.62,,,,,,,,167783179.62,,,-64327610.42,,,,,2077260,,,2077260,,,,,,,0,,,2077260,43813.84,,,4249035693,26324190180.51,,,30573225873.51,4026624588.92,,,-1989145.16,264496743,,6602244.18,22006603.62,,,3446982.34,,,,,-43813.84,-10147483.09,-43018742.49,,-653675966.63,-2678769985.9,3375710204.63,,,,,,4311242229.58,,,,30557758703.07,26311138400.74,15467170.44,13051779.77,,,4249035693
20160101,20160331,6669657116.43,,,,,,,,,,,16245833.28,297019187.02,,,6982922136.73,1827172284.39,,,,,,995029152.66,2793153484.13,608050271.4,,,6223405192.58,,,759516944.15,,36000000,18700.8,,,,,,36018700.8,98697173.26,,,,,,,,98697173.26,,,-62678472.46,,,,,,,,0,,,,,,,0,,,0,-10314.63,,,696828157.06,26324190180.51,,,27021018337.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27021018337.57,26324190180.51,,,,,696828157.06
20150101,20151231,26084485451.91,,,,,,,,,,,14914536.35,692873442.75,,,26792273431.01,8602256449.04,,,,,,2874978784.31,6660468211.86,1963501536.02,,,20101204981.23,,,6691068449.78,,,1044231.7,,,,,,1044231.7,395218520.86,,,,,,,,395218520.86,,,-394174289.16,59000000,59000000,,,43490805,,,102490805,,2457403819.8,179823787.8,,,,2457403819.8,,,-2354913014.8,102450.21,,,3942083596.03,22382106584.48,,,26324190180.51,6410484336.27,,,23569776.23,571384638.4,,12716890.33,34520032.62,,,1838674.34,,,,,-102450.21,-34144563.94,-136918689.79,,-632571124.05,-1546245346.94,1986536276.52,,,,,,6691068449.78,,,,26311138400.74,22364113951.74,13051779.77,17992632.74,,,3942083596.03
20150101,20150930,17113243342.42,,,,,,,,,,,14979748.72,728178857.85,,,17856401948.99,3275567293.9,,,,,,2129670825.07,5074558315.64,1666834849.18,,,12146631283.79,,,5709770665.2,,,660682.53,,,,,,660682.53,325684472.2,,,,,,,,325684472.2,,,-325023789.67,59000000,59000000,,,,,,59000000,,2457403819.8,179823787.8,,,,2457403819.8,,,-2398403819.8,74412.03,,,2986417467.76,22382106584.48,,,25368524052.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25368524052.24,22382106584.48,,,,,2986417467.76
20150101,20150630,11274169523.64,,,,,,,,,,,6552453.04,503670787.97,,,11784392764.65,2513768863.07,,,,,,1486277672.98,3584299373.82,1083432347.49,,,8667778257.36,,,3116614507.29,,,659241.1,,,,,,659241.1,228478960.54,,,,,,,,228478960.54,,,-227819719.44,39000000,39000000,,,,,,39000000,,2457403819.8,179823787.8,,,,2457403819.8,,,-2418403819.8,4982.21,,,470395950.26,22382106584.48,,,22852502534.74,3421203676.33,,,2007331.45,282385154.78,,6286429.45,15251087.63,,,275015.77,,,,,-4982.21,-11944354.91,31440328.67,,-415724888.84,-139725038.35,-74835252.48,,,,,,3116614507.29,,,,22852502534.74,22364113951.74,,17992632.74,,,470395950.26
20150101,20150331,6643981136.11,,,,,,,,,,,1104254.27,231456971.84,,,6876542362.22,1310781376.84,,,,,,827733469.93,2332702515.66,472902115.08,,,4944119477.51,,,1932422884.71,,,464000.1,,,,,,464000.1,102048998.65,,,,,,,,102048998.65,,,-101584998.55,4000000,4000000,,,,,,4000000,,,,,,,0,,,4000000,-34268.8,,,1834803617.36,22382106584.48,,,24216910201.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24216910201.84,22382106584.48,,,,,1834803617.36
20140101,20141231,20235325675.32,,,,,,,,,,,18420248.68,938546509.95,,,21192292433.95,8040615495.1,,,,,,2849896873.71,7273342171.76,2233872248.04,,,20397726788.61,,,794565645.34,,,30475856.72,,,,,,30475856.72,411004620.02,734000000,,72009699.13,,,,,1217014319.15,,,-1186538462.43,6000000,6000000,,,,,,6000000,,2995275619.56,338098915.56,,,,2995275619.56,,,-2989275619.56,-140253.82,,,-3381388690.47,25763495274.95,,,22382106584.48,6058214963.07,,,6161457.32,615601722.93,,9758275.08,27253805.43,,,20295106.23,,,,,140253.82,-14487542.04,75870594.2,,-1181272030.3,-3711623760.5,-1111347199.9,,,,,,794565645.34,,,,22364113951.74,25763495274.95,17992632.74,,,,-3381388690.47
