指标,白酒（折65度，商品量）产量_当期值(万千升),白酒（折65度，商品量）产量_累计值(万千升),白酒（折65度，商品量）产量_同比增长(%),白酒（折65度，商品量）产量_累计增长(%)
2017年6月,127.3,683.5,9.6,6.6
2017年5月,110.2,554.8,4.1,3.8
2017年4月,107,444.4,6,3.7
2017年3月,121.4,337.7,3.7,2.8
2017年2月,,221.1,,2.6
2016年12月,145.1,1358.4,5.7,3.2
2016年11月,135.2,1215.9,5.8,3.2
2016年10月,117.8,1083.9,0.8,3.4
2016年9月,123.6,974.6,2.4,4.3
2016年8月,97.4,849.2,3.5,4.6
2016年7月,96.5,751.5,0.9,4.4
2016年6月,116,655.3,1.8,4.9
2016年5月,105.5,539.3,4.2,5.9
2016年4月,101.8,433.5,2,5.3
2016年3月,119,332.6,9.1,6.7
2016年2月,,216.4,,5.6
2015年12月,137.9,1312.8,5.8,5.1
2015年11月,128.5,1175.7,6.6,5
2015年10月,116.9,1045.8,6.4,4.8
2015年9月,122.2,938.9,11.6,5.6
2015年8月,93.6,808.9,6.4,3.8
2015年7月,94.7,717.4,6.8,4.7
2015年6月,113.6,623.6,4.1,3.5
2015年5月,101.3,508.2,5.2,3.3
2015年4月,98.9,407.6,3.5,3.6
2015年3月,108.2,310.4,2.3,4.2
2015年2月,95.6,199.9,7.4,4.6
2014年12月,131.8,1256.9,-2.4,2.7
2014年11月,121.3,1125.4,-4.9,3.5
2014年10月,111.4,1003.8,-2.5,4.6
2014年9月,109.8,893.6,0.9,5.4
2014年8月,89.1,786.9,4,6.7
2014年7月,90.5,700.7,8.1,7.1
2014年6月,111.2,612.7,4.6,7
2014年5月,97.6,498,3.4,7.3
2014年4月,96.3,396.6,5,9.1
2014年3月,106.2,298.8,5.8,5.7
2014年2月,,190.7,,4.4
2013年12月,134,1226.7,-0.4,7.1
2013年11月,127.3,1085.3,12,7.4
2013年10月,114.4,962.5,8.5,7.4
2013年9月,111,868,-0.7,7
2013年8月,87.2,756.8,4.6,7.9
2013年7月,84.3,671.3,1.4,8.4
2013年6月,108.1,588.6,4.6,9.2
2013年5月,95.4,477.9,9.9,8.5
2013年4月,93.6,381.8,12.6,6.9
2013年3月,104,303.7,13.6,7.9
2013年2月,,213,,8.5
2012年12月,128.3,1153.1,11.8,18.5
2012年11月,115.1,1023.6,14.3,17.7
2012年10月,106.2,905.2,14.3,19.3
2012年9月,111,798.1,24.4,20.7
2012年8月,82.3,689.4,20.1,20.5
2012年7月,82.4,610.5,22.6,19.7
2012年6月,101.8,535.2,17.7,17.1
2012年5月,85.1,436,12.3,17.5
2012年4月,80.7,354,13.3,17.3
2012年3月,91.9,284.9,10.6,23
2012年2月,105.5,200.1,52.2,31.9
2012年1月,94.6,94.6,15.1,15.1
2011年12月,121.5,1025.8,34.7,30.7
2011年11月,105.4,911,23.3,30.2
2011年10月,100,810.5,36.6,29.9
2011年9月,94.4,714.1,29,29.2
2011年8月,71.4,617.5,27.5,29.7
2011年7月,69.9,547.5,34.2,28.8
2011年6月,91.9,480,33,28
2011年5月,80.6,395.7,29,30.3
